cand,method,mean_plddt,ptm
cand00302,SolubleMPNN,98.03,0.81
cand02017,SolubleMPNN,97.93,0.79
cand00331,SolubleMPNN,97.92,0.81
cand00721,SolubleMPNN,97.9,0.8
cand00165,SolubleMPNN,97.9,0.8
cand00319,SolubleMPNN,97.87,0.81
cand00232,SolubleMPNN,97.85,0.81
cand00274,SolubleMPNN,97.85,0.81
cand00061,SolubleMPNN,97.84,0.81
cand01526,SolubleMPNN,97.84,0.79
cand00117,SolubleMPNN,97.83,0.8
cand01428,SolubleMPNN,97.83,0.78
cand01369,SolubleMPNN,97.82,0.8
cand01726,SolubleMPNN,97.82,0.78
cand01985,SolubleMPNN,97.81,0.8
cand01566,SolubleMPNN,97.79,0.78
cand00318,SolubleMPNN,97.79,0.81
cand00173,SolubleMPNN,97.78,0.8
cand02325,ProteinMPNN,97.77,0.8
cand00918,SolubleMPNN,97.77,0.8
cand01560,SolubleMPNN,97.76,0.8
cand02172,SolubleMPNN,97.76,0.79
cand01979,SolubleMPNN,97.75,0.78
cand00131,SolubleMPNN,97.75,0.81
cand00184,SolubleMPNN,97.74,0.81
cand01892,SolubleMPNN,97.74,0.78
cand01893,SolubleMPNN,97.73,0.78
cand01128,SolubleMPNN,97.73,0.8
cand00336,SolubleMPNN,97.71,0.79
cand01961,SolubleMPNN,97.7,0.79
cand01769,SolubleMPNN,97.7,0.79
cand01090,SolubleMPNN,97.67,0.8
cand00063,SolubleMPNN,97.67,0.81
cand01415,SolubleMPNN,97.67,0.79
cand02115,SolubleMPNN,97.65,0.79
cand00115,SolubleMPNN,97.64,0.84
cand00990,SolubleMPNN,97.63,0.79
cand02049,SolubleMPNN,97.63,0.78
cand00284,SolubleMPNN,97.63,0.8
cand01589,SolubleMPNN,97.62,0.79
cand01586,SolubleMPNN,97.61,0.79
cand01663,SolubleMPNN,97.61,0.8
cand01913,SolubleMPNN,97.61,0.78
cand02291,ProteinMPNN,97.6,0.79
cand01969,SolubleMPNN,97.59,0.78
cand01102,SolubleMPNN,97.59,0.78
cand00722,SolubleMPNN,97.56,0.79
cand00186,SolubleMPNN,97.56,0.84
cand01357,SolubleMPNN,97.56,0.79
cand01992,SolubleMPNN,97.55,0.79
cand01812,SolubleMPNN,97.54,0.78
cand01146,SolubleMPNN,97.54,0.79
cand01996,SolubleMPNN,97.53,0.79
cand01286,SolubleMPNN,97.53,0.79
cand00045,SolubleMPNN,97.53,0.84
cand01946,SolubleMPNN,97.53,0.78
cand01608,SolubleMPNN,97.53,0.78
cand00558,SolubleMPNN,97.52,0.79
cand01407,SolubleMPNN,97.52,0.79
cand01746,SolubleMPNN,97.52,0.78
cand01753,SolubleMPNN,97.52,0.79
cand02213,ProteinMPNN,97.51,0.78
cand01001,SolubleMPNN,97.51,0.79
cand01683,SolubleMPNN,97.51,0.77
cand00139,SolubleMPNN,97.5,0.8
cand01908,SolubleMPNN,97.5,0.79
cand01382,SolubleMPNN,97.49,0.79
cand01101,SolubleMPNN,97.49,0.79
cand02147,SolubleMPNN,97.49,0.79
cand02381,ProteinMPNN,97.49,0.79
cand02230,SolubleMPNN,97.48,0.8
cand01542,SolubleMPNN,97.47,0.79
cand02389,ProteinMPNN,97.45,0.79
cand00321,SolubleMPNN,97.44,0.8
cand01659,SolubleMPNN,97.44,0.78
cand02027,SolubleMPNN,97.43,0.79
cand01998,SolubleMPNN,97.41,0.79
cand00027,SolubleMPNN,97.41,0.84
cand01408,SolubleMPNN,97.41,0.79
cand01481,SolubleMPNN,97.41,0.78
cand01093,SolubleMPNN,97.4,0.79
cand01636,SolubleMPNN,97.4,0.79
cand01800,SolubleMPNN,97.39,0.78
cand02238,SolubleMPNN,97.39,0.79
cand00225,SolubleMPNN,97.39,0.81
cand02055,SolubleMPNN,97.39,0.78
cand01332,SolubleMPNN,97.39,0.78
cand01073,SolubleMPNN,97.39,0.79
cand01139,SolubleMPNN,97.39,0.78
cand00086,SolubleMPNN,97.38,0.83
cand01033,SolubleMPNN,97.38,0.8
cand00220,SolubleMPNN,97.38,0.83
cand01886,SolubleMPNN,97.38,0.77
cand01394,SolubleMPNN,97.37,0.79
cand01935,SolubleMPNN,97.37,0.79
cand01703,SolubleMPNN,97.37,0.78
cand01642,SolubleMPNN,97.36,0.79
cand00512,SolubleMPNN,97.36,0.79
cand01138,SolubleMPNN,97.36,0.79
cand00072,SolubleMPNN,97.35,0.83
cand01522,SolubleMPNN,97.35,0.79
cand01865,SolubleMPNN,97.35,0.78
cand02114,SolubleMPNN,97.35,0.78
cand00005,SolubleMPNN,97.34,0.84
cand00147,SolubleMPNN,97.34,0.84
cand02059,SolubleMPNN,97.34,0.79
cand01630,SolubleMPNN,97.34,0.66
cand00376,SolubleMPNN,97.34,0.79
cand00057,SolubleMPNN,97.33,0.84
cand02048,SolubleMPNN,97.33,0.77
cand02029,SolubleMPNN,97.32,0.78
cand01196,SolubleMPNN,97.32,0.79
cand01505,SolubleMPNN,97.31,0.78
cand01995,SolubleMPNN,97.3,0.77
cand01991,SolubleMPNN,97.3,0.77
cand00757,ProteinMPNN,97.29,0.83
cand00860,ProteinMPNN,97.28,0.8
cand00342,SolubleMPNN,97.28,0.84
cand01170,SolubleMPNN,97.28,0.78
cand01732,SolubleMPNN,97.28,0.78
cand00268,SolubleMPNN,97.28,0.8
cand00297,SolubleMPNN,97.28,0.83
cand00013,SolubleMPNN,97.27,0.84
cand01082,SolubleMPNN,97.26,0.79
cand01760,SolubleMPNN,97.26,0.78
cand02036,SolubleMPNN,97.25,0.78
cand00222,SolubleMPNN,97.25,0.83
cand00070,SolubleMPNN,97.24,0.83
cand01469,SolubleMPNN,97.23,0.78
cand02028,SolubleMPNN,97.21,0.78
cand00956,SolubleMPNN,97.21,0.79
cand02127,SolubleMPNN,97.19,0.78
cand02182,SolubleMPNN,97.19,0.66
cand01096,SolubleMPNN,97.18,0.77
cand01774,SolubleMPNN,97.17,0.77
cand02121,SolubleMPNN,97.16,0.78
cand00440,SolubleMPNN,97.16,0.81
cand01153,SolubleMPNN,97.15,0.78
cand01395,SolubleMPNN,97.14,0.79
cand01927,SolubleMPNN,97.14,0.76
cand01607,SolubleMPNN,97.14,0.79
cand00681,SolubleMPNN,97.13,0.79
cand01556,SolubleMPNN,97.12,0.78
cand00779,SolubleMPNN,97.11,0.79
cand00724,SolubleMPNN,97.1,0.78
cand01057,SolubleMPNN,97.1,0.77
cand01070,ProteinMPNN,97.1,0.77
cand02101,SolubleMPNN,97.1,0.78
cand02016,SolubleMPNN,97.09,0.77
cand01295,SolubleMPNN,97.08,0.78
cand00107,SolubleMPNN,97.08,0.83
cand02302,ProteinMPNN,97.08,0.78
cand00170,SolubleMPNN,97.07,0.83
cand01734,SolubleMPNN,97.07,0.77
cand00182,SolubleMPNN,97.05,0.79
cand00654,SolubleMPNN,97.05,0.79
cand02203,SolubleMPNN,97.05,0.78
cand01549,ProteinMPNN,97.05,0.79
cand00003,SolubleMPNN,97.04,0.84
cand01064,SolubleMPNN,97.04,0.81
cand01564,SolubleMPNN,97.03,0.79
cand00287,SolubleMPNN,97.03,0.79
cand02190,ProteinMPNN,97.03,0.78
cand02218,SolubleMPNN,97.02,0.78
cand01198,ProteinMPNN,97.02,0.76
cand02210,SolubleMPNN,97.01,0.77
cand00052,SolubleMPNN,97.01,0.84
cand01011,ProteinMPNN,97.01,0.81
cand02305,SolubleMPNN,97.0,0.78
cand00481,SolubleMPNN,97.0,0.78
cand01758,SolubleMPNN,97.0,0.78
cand00019,SolubleMPNN,96.99,0.85
cand00235,SolubleMPNN,96.99,0.74
cand01105,ProteinMPNN,96.98,0.78
cand00134,SolubleMPNN,96.97,0.79
cand02058,SolubleMPNN,96.97,0.79
cand01450,SolubleMPNN,96.96,0.77
cand02223,SolubleMPNN,96.96,0.78
cand00124,SolubleMPNN,96.96,0.79
cand02169,SolubleMPNN,96.96,0.78
cand00875,SolubleMPNN,96.95,0.78
cand00320,SolubleMPNN,96.95,0.82
cand02368,ProteinMPNN,96.95,0.79
cand02110,SolubleMPNN,96.94,0.77
cand01791,SolubleMPNN,96.93,0.78
cand01353,ProteinMPNN,96.93,0.77
cand00386,SolubleMPNN,96.93,0.8
cand00327,SolubleMPNN,96.92,0.79
cand00224,SolubleMPNN,96.92,0.83
cand01614,SolubleMPNN,96.92,0.78
cand01248,SolubleMPNN,96.92,0.82
cand02159,SolubleMPNN,96.91,0.78
cand00713,ProteinMPNN,96.91,0.78
cand00502,SolubleMPNN,96.9,0.81
cand01693,SolubleMPNN,96.9,0.78
cand01688,SolubleMPNN,96.89,0.76
cand01177,SolubleMPNN,96.89,0.77
cand00228,SolubleMPNN,96.89,0.79
cand00882,ProteinMPNN,96.89,0.8
cand01776,SolubleMPNN,96.88,0.78
cand02045,SolubleMPNN,96.88,0.72
cand02112,SolubleMPNN,96.88,0.79
cand01440,ProteinMPNN,96.87,0.78
cand00328,SolubleMPNN,96.87,0.79
cand01199,SolubleMPNN,96.87,0.78
cand00210,SolubleMPNN,96.87,0.79
cand01616,SolubleMPNN,96.87,0.79
cand00818,SolubleMPNN,96.87,0.79
cand01503,ProteinMPNN,96.87,0.78
cand00085,SolubleMPNN,96.86,0.79
cand01965,SolubleMPNN,96.85,0.78
cand01414,SolubleMPNN,96.84,0.78
cand01349,SolubleMPNN,96.84,0.79
cand01900,SolubleMPNN,96.83,0.77
cand00887,SolubleMPNN,96.83,0.79
cand01646,SolubleMPNN,96.82,0.79
cand00198,SolubleMPNN,96.81,0.79
cand00429,SolubleMPNN,96.81,0.79
cand02113,SolubleMPNN,96.81,0.79
cand01682,SolubleMPNN,96.8,0.78
cand02299,SolubleMPNN,96.78,0.79
cand01111,SolubleMPNN,96.77,0.78
cand02057,SolubleMPNN,96.77,0.7
cand00696,SolubleMPNN,96.77,0.82
cand00396,SolubleMPNN,96.77,0.8
cand00008,SolubleMPNN,96.76,0.83
cand00074,SolubleMPNN,96.76,0.83
cand01405,SolubleMPNN,96.76,0.59
cand02102,SolubleMPNN,96.76,0.77
cand02219,SolubleMPNN,96.75,0.77
cand02387,ProteinMPNN,96.75,0.78
cand01333,SolubleMPNN,96.75,0.8
cand00050,SolubleMPNN,96.73,0.84
cand00954,ProteinMPNN,96.73,0.78
cand01689,SolubleMPNN,96.73,0.78
cand00174,SolubleMPNN,96.72,0.78
cand00180,SolubleMPNN,96.71,0.83
cand00106,SolubleMPNN,96.71,0.84
cand01418,SolubleMPNN,96.7,0.78
cand01786,SolubleMPNN,96.7,0.79
cand00264,SolubleMPNN,96.7,0.83
cand00997,ProteinMPNN,96.69,0.8
cand00162,SolubleMPNN,96.68,0.82
cand00043,SolubleMPNN,96.68,0.83
cand01764,SolubleMPNN,96.68,0.79
cand01709,SolubleMPNN,96.68,0.78
cand02097,SolubleMPNN,96.68,0.77
cand00518,SolubleMPNN,96.67,0.81
cand01060,SolubleMPNN,96.67,0.76
cand02222,SolubleMPNN,96.66,0.78
cand00083,SolubleMPNN,96.66,0.82
cand01296,SolubleMPNN,96.65,0.78
cand01916,SolubleMPNN,96.65,0.7
cand02244,SolubleMPNN,96.64,0.77
cand01729,SolubleMPNN,96.63,0.79
cand00451,SolubleMPNN,96.63,0.83
cand00495,SolubleMPNN,96.62,0.77
cand01265,SolubleMPNN,96.62,0.75
cand02408,ProteinMPNN,96.61,0.77
cand00401,ProteinMPNN,96.61,0.78
cand00040,SolubleMPNN,96.61,0.83
cand01648,SolubleMPNN,96.61,0.78
cand01680,SolubleMPNN,96.61,0.81
cand00073,SolubleMPNN,96.59,0.8
cand01934,SolubleMPNN,96.59,0.76
cand00810,SolubleMPNN,96.59,0.78
cand02197,SolubleMPNN,96.59,0.78
cand00362,ProteinMPNN,96.59,0.83
cand02215,SolubleMPNN,96.56,0.77
cand00924,ProteinMPNN,96.55,0.77
cand01005,ProteinMPNN,96.55,0.81
cand00303,SolubleMPNN,96.55,0.81
cand02179,SolubleMPNN,96.55,0.78
cand01983,SolubleMPNN,96.54,0.77
cand00020,SolubleMPNN,96.54,0.84
cand01442,ProteinMPNN,96.54,0.77
cand01403,SolubleMPNN,96.54,0.76
cand02432,SolubleMPNN,96.53,0.6
cand00908,SolubleMPNN,96.53,0.77
cand02128,SolubleMPNN,96.52,0.77
cand00844,SolubleMPNN,96.51,0.78
cand00546,SolubleMPNN,96.51,0.81
cand01962,SolubleMPNN,96.5,0.78
cand00339,SolubleMPNN,96.5,0.82
cand01675,ProteinMPNN,96.5,0.78
cand00718,ProteinMPNN,96.5,0.77
cand00090,SolubleMPNN,96.49,0.78
cand02254,ProteinMPNN,96.48,0.77
cand02243,SolubleMPNN,96.48,0.78
cand01528,SolubleMPNN,96.48,0.76
cand00496,SolubleMPNN,96.47,0.81
cand01724,SolubleMPNN,96.47,0.77
cand00253,SolubleMPNN,96.46,0.8
cand00727,SolubleMPNN,96.45,0.77
cand00144,SolubleMPNN,96.45,0.79
cand01718,ProteinMPNN,96.44,0.76
cand00255,SolubleMPNN,96.44,0.81
cand00747,SolubleMPNN,96.43,0.83
cand01637,SolubleMPNN,96.43,0.78
cand00662,SolubleMPNN,96.42,0.81
cand01736,SolubleMPNN,96.41,0.8
cand01140,SolubleMPNN,96.41,0.77
cand00395,SolubleMPNN,96.41,0.82
cand00927,SolubleMPNN,96.4,0.78
cand00665,SolubleMPNN,96.39,0.78
cand01220,SolubleMPNN,96.39,0.78
cand01206,ProteinMPNN,96.39,0.78
cand00636,SolubleMPNN,96.39,0.81
cand01891,ProteinMPNN,96.39,0.78
cand00093,SolubleMPNN,96.38,0.83
cand02310,SolubleMPNN,96.38,0.76
cand02063,SolubleMPNN,96.38,0.77
cand01069,SolubleMPNN,96.38,0.77
cand00301,ProteinMPNN,96.38,0.83
cand00852,ProteinMPNN,96.37,0.78
cand01974,ProteinMPNN,96.37,0.8
cand02201,SolubleMPNN,96.36,0.77
cand02117,SolubleMPNN,96.33,0.76
cand00590,SolubleMPNN,96.32,0.81
cand01085,SolubleMPNN,96.32,0.82
cand00153,SolubleMPNN,96.32,0.78
cand01850,SolubleMPNN,96.32,0.79
cand00701,SolubleMPNN,96.32,0.79
cand01310,SolubleMPNN,96.31,0.77
cand00143,SolubleMPNN,96.31,0.77
cand00423,SolubleMPNN,96.3,0.8
cand01605,SolubleMPNN,96.3,0.76
cand01008,ProteinMPNN,96.29,0.78
cand00096,SolubleMPNN,96.28,0.83
cand00286,SolubleMPNN,96.28,0.77
cand00345,SolubleMPNN,96.27,0.8
cand00226,SolubleMPNN,96.27,0.78
cand01885,SolubleMPNN,96.27,0.77
cand01063,SolubleMPNN,96.26,0.77
cand01606,SolubleMPNN,96.25,0.77
cand00702,SolubleMPNN,96.25,0.8
cand01044,SolubleMPNN,96.24,0.77
cand01485,ProteinMPNN,96.24,0.77
cand01287,SolubleMPNN,96.23,0.78
cand01883,ProteinMPNN,96.22,0.77
cand00666,SolubleMPNN,96.2,0.79
cand02393,ProteinMPNN,96.2,0.78
cand00637,ProteinMPNN,96.2,0.77
cand00452,ProteinMPNN,96.19,0.77
cand00263,SolubleMPNN,96.19,0.77
cand00389,ProteinMPNN,96.19,0.76
cand01345,SolubleMPNN,96.18,0.74
cand00313,SolubleMPNN,96.18,0.77
cand02178,SolubleMPNN,96.18,0.76
cand01285,SolubleMPNN,96.17,0.79
cand00102,SolubleMPNN,96.15,0.82
cand02105,SolubleMPNN,96.15,0.78
cand00509,SolubleMPNN,96.14,0.81
cand02329,SolubleMPNN,96.13,0.76
cand00103,SolubleMPNN,96.13,0.77
cand00549,ProteinMPNN,96.13,0.76
cand00243,SolubleMPNN,96.13,0.79
cand02195,SolubleMPNN,96.13,0.75
cand00081,SolubleMPNN,96.12,0.73
cand01400,SolubleMPNN,96.11,0.8
cand00279,SolubleMPNN,96.11,0.72
cand00883,ProteinMPNN,96.1,0.8
cand01978,SolubleMPNN,96.09,0.78
cand01568,ProteinMPNN,96.09,0.77
cand00985,ProteinMPNN,96.08,0.77
cand01421,ProteinMPNN,96.07,0.75
cand02122,SolubleMPNN,96.06,0.76
cand00777,ProteinMPNN,96.05,0.81
cand01188,SolubleMPNN,96.05,0.73
cand00714,ProteinMPNN,96.05,0.76
cand00873,ProteinMPNN,96.04,0.75
cand00658,SolubleMPNN,96.04,0.82
cand00254,SolubleMPNN,96.04,0.8
cand01559,SolubleMPNN,96.03,0.8
cand02091,SolubleMPNN,96.03,0.76
cand00304,SolubleMPNN,96.02,0.8
cand00104,SolubleMPNN,96.01,0.76
cand02303,ProteinMPNN,96.01,0.77
cand00851,ProteinMPNN,96.0,0.79
cand01550,SolubleMPNN,96.0,0.81
cand01150,SolubleMPNN,96.0,0.75
cand02031,ProteinMPNN,95.99,0.79
cand00850,ProteinMPNN,95.99,0.76
cand00346,ProteinMPNN,95.99,0.8
cand00991,ProteinMPNN,95.99,0.79
cand00937,ProteinMPNN,95.99,0.76
cand02333,SolubleMPNN,95.98,0.75
cand01255,ProteinMPNN,95.98,0.77
cand00774,SolubleMPNN,95.97,0.78
cand01690,SolubleMPNN,95.97,0.74
cand01176,SolubleMPNN,95.97,0.77
cand01738,ProteinMPNN,95.97,0.77
cand02165,SolubleMPNN,95.97,0.75
cand00118,SolubleMPNN,95.96,0.83
cand02196,ProteinMPNN,95.96,0.76
cand00754,ProteinMPNN,95.95,0.76
cand00642,SolubleMPNN,95.95,0.8
cand01495,SolubleMPNN,95.95,0.78
cand01492,SolubleMPNN,95.95,0.8
cand01999,SolubleMPNN,95.94,0.78
cand02229,ProteinMPNN,95.94,0.77
cand01438,SolubleMPNN,95.94,0.75
cand01122,SolubleMPNN,95.94,0.76
cand01379,ProteinMPNN,95.93,0.78
cand00195,SolubleMPNN,95.93,0.82
cand02285,ProteinMPNN,95.93,0.76
cand00763,ProteinMPNN,95.93,0.76
cand00922,ProteinMPNN,95.92,0.77
cand00901,ProteinMPNN,95.92,0.8
cand01091,ProteinMPNN,95.91,0.77
cand01490,SolubleMPNN,95.91,0.76
cand00343,SolubleMPNN,95.9,0.81
cand00865,ProteinMPNN,95.89,0.78
cand01543,SolubleMPNN,95.88,0.75
cand01755,SolubleMPNN,95.88,0.77
cand00689,SolubleMPNN,95.88,0.78
cand02266,SolubleMPNN,95.87,0.75
cand00934,ProteinMPNN,95.87,0.76
cand01739,SolubleMPNN,95.87,0.77
cand01918,ProteinMPNN,95.87,0.78
cand02273,ProteinMPNN,95.86,0.76
cand00944,SolubleMPNN,95.86,0.72
cand00492,ProteinMPNN,95.86,0.79
cand01766,SolubleMPNN,95.86,0.76
cand02171,SolubleMPNN,95.84,0.76
cand02429,ProteinMPNN,95.83,0.75
cand02257,ProteinMPNN,95.83,0.75
cand02339,SolubleMPNN,95.82,0.75
cand02252,SolubleMPNN,95.82,0.76
cand01907,SolubleMPNN,95.82,0.77
cand00894,ProteinMPNN,95.82,0.76
cand00122,ProteinMPNN,95.81,0.81
cand02126,SolubleMPNN,95.8,0.76
cand00515,SolubleMPNN,95.8,0.79
cand00059,SolubleMPNN,95.79,0.77
cand01943,ProteinMPNN,95.79,0.76
cand01521,SolubleMPNN,95.79,0.78
cand01807,ProteinMPNN,95.78,0.77
cand00838,ProteinMPNN,95.77,0.79
cand01635,ProteinMPNN,95.76,0.8
cand01871,SolubleMPNN,95.75,0.78
cand00917,SolubleMPNN,95.75,0.76
cand01276,SolubleMPNN,95.75,0.76
cand02226,ProteinMPNN,95.74,0.76
cand00137,SolubleMPNN,95.74,0.76
cand00931,ProteinMPNN,95.74,0.76
cand00231,SolubleMPNN,95.74,0.82
cand00310,ProteinMPNN,95.74,0.82
cand01126,SolubleMPNN,95.74,0.85
cand00859,ProteinMPNN,95.73,0.75
cand00782,ProteinMPNN,95.73,0.75
cand01767,SolubleMPNN,95.72,0.76
cand01631,SolubleMPNN,95.72,0.74
cand00247,SolubleMPNN,95.72,0.8
cand01190,ProteinMPNN,95.71,0.76
cand01866,SolubleMPNN,95.69,0.78
cand01372,SolubleMPNN,95.68,0.76
cand00961,ProteinMPNN,95.68,0.75
cand02357,SolubleMPNN,95.67,0.76
cand02354,ProteinMPNN,95.67,0.76
cand00194,SolubleMPNN,95.67,0.83
cand00660,SolubleMPNN,95.67,0.79
cand00066,ProteinMPNN,95.67,0.8
cand02351,ProteinMPNN,95.66,0.76
cand01362,SolubleMPNN,95.66,0.78
cand00181,ProteinMPNN,95.66,0.8
cand00764,SolubleMPNN,95.66,0.76
cand00717,SolubleMPNN,95.66,0.77
