set,label,ddG,dSASA,ddG_per100,cms,nres
dataset,mythos_preview_multi_target_pdl1_rank01,-50.05,1771.9,-2.824,419.3,75
dataset,mythos_preview_multi_target_pdl1_rank02,-52.01,1764.0,-2.948,420.2,72
dataset,mythos_preview_multi_target_pdl1_rank03,-54.95,1778.1,-3.090,466.3,72
dataset,mythos_preview_multi_target_pdl1_rank04,-66.52,2011.9,-3.306,495.7,79
dataset,mythos_preview_multi_target_pdl1_rank05,-43.25,1575.4,-2.745,353.1,65
dataset,mythos_preview_multi_target_pdl1_rank06,-47.07,1530.8,-3.075,353.6,62
dataset,mythos_preview_multi_target_pdl1_rank07,-39.75,1660.1,-2.395,377.4,66
dataset,mythos_preview_multi_target_pdl1_rank08,-72.70,2114.6,-3.438,506.5,79
dataset,mythos_preview_multi_target_pdl1_rank09,-49.77,1796.4,-2.771,346.5,65
dataset,mythos_preview_multi_target_pdl1_rank10,-70.24,2057.7,-3.414,516.2,80
dataset,mythos_preview_multi_target_pdl1_rank11,-50.50,2080.9,-2.427,437.1,70
dataset,mythos_preview_multi_target_pdl1_rank12,-41.96,1913.7,-2.193,419.0,67
dataset,mythos_preview_multi_target_pdl1_rank13,-49.53,1873.1,-2.644,451.4,70
dataset,mythos_preview_multi_target_pdl1_rank14,-53.12,1665.0,-3.191,379.1,67
dataset,mythos_preview_multi_target_pdl1_rank15,-50.67,1578.9,-3.209,293.4,56
dataset,mythos_preview_multi_target_pdl1_rank16,-58.22,1686.6,-3.452,363.2,60
dataset,mythos_preview_multi_target_pdl1_rank17,-42.26,1644.2,-2.570,355.0,64
dataset,mythos_preview_multi_target_pdl1_rank18,-47.40,1877.1,-2.525,425.6,65
dataset,mythos_preview_multi_target_pdl1_rank19,-34.10,1543.2,-2.210,379.8,56
dataset,mythos_preview_multi_target_pdl1_rank20,-35.15,1635.7,-2.149,390.9,54
ours,cand00534,-40.80,2002.5,-2.038,420.2,65
ours,cand01590,-50.93,2161.7,-2.356,484.5,82
ours,cand01184,-31.21,1574.5,-1.982,305.1,60
ours,cand00668,-38.13,1707.4,-2.233,346.1,75
ours,cand00518,-33.53,1783.2,-1.881,373.3,68
ours,cand01147,-47.04,1796.7,-2.618,363.0,60
ours,cand00427,-44.23,1692.7,-2.613,360.7,71
ours,cand02380,-20.90,1229.6,-1.700,271.8,42
ours,cand02037,-40.77,1495.2,-2.726,311.1,69
ours,cand01922,-49.76,2174.6,-2.288,456.9,79
ours,cand02128,-27.70,1482.2,-1.869,268.2,57
ours,cand02166,-36.17,1634.6,-2.213,340.7,68
ours,cand02100,-62.09,2056.5,-3.019,535.1,84
ours,cand01193,-36.15,1966.1,-1.839,369.1,78
ours,cand00437,-42.56,1855.1,-2.294,390.9,71
ours,cand00635,-9.57,998.1,-0.959,156.0,57
ours,cand02443,-24.58,1266.5,-1.941,229.0,49
ours,cand02234,-20.07,1110.7,-1.807,202.2,38
ours,cand02161,-59.63,2145.6,-2.779,526.4,81
ours,cand01106,-26.44,1406.6,-1.880,256.3,57
ours,cand02122,0.22,931.7,0.024,183.6,27
ours,cand02298,-52.71,2020.6,-2.609,429.0,75
ours,cand00401,-43.80,1333.0,-3.286,306.7,53
ours,cand00974,-29.57,1489.4,-1.985,296.9,60
ours,cand01463,-27.40,1573.9,-1.741,322.8,55
ours,cand01415,-22.94,1051.6,-2.181,203.0,49
ours,cand02182,-16.91,1242.3,-1.361,233.0,42
ours,cand00763,-33.43,1171.0,-2.855,247.4,50
ours,cand02232,-30.32,1750.7,-1.732,327.7,69
ours,cand02175,-42.37,1838.3,-2.305,329.6,74
