rank,cand,composite,cf_ipsae,bz_iptm,esm_iptm,esm_ptm,cf_ddg,consensus3,backbone,method,L
1,cand00073,0.954,0.8031,0.9686862826347351,0.9478005766868591,0.9542256593704224,-60.11,1,5C3T_binder_3,SolubleMPNN,66
2,cand00169,0.953,0.8001,0.969306468963623,0.9479714632034302,0.9564988613128662,-57.58,1,5C3T_binder_3,ProteinMPNN,66
3,cand00106,0.946,0.7992,0.953662097454071,0.9437976479530334,0.9567697048187256,-46.58,1,4ZQK_binder_3,SolubleMPNN,83
4,cand00224,0.942,0.789,0.951235830783844,0.9454696178436279,0.9589243531227112,-52.17,1,4ZQK_binder_3,SolubleMPNN,83
5,cand00725,0.931,0.7745,0.9590417146682739,0.9222720265388489,0.9458121061325073,-53.69,1,5C3T_binder_12,ProteinMPNN,72
6,cand01918,0.925,0.7531,0.9524411559104919,0.9356237649917603,0.9483417868614197,-57.54,1,4ZQK_binder_1,ProteinMPNN,76
7,cand00205,0.924,0.7649,0.9547654986381531,0.9163934588432312,0.938717246055603,-45.74,1,5C3T_binder_3,ProteinMPNN,66
8,cand02270,0.915,0.7567,0.9666240811347961,0.8892549872398376,0.9283385276794434,-54.62,1,pdl1_binder_0,SolubleMPNN,80
9,cand01490,0.913,0.7335,0.9469016194343567,0.9301251173019409,0.9492413401603699,-56.85,1,4ZQK_binder_1,SolubleMPNN,76
10,cand01514,0.911,0.7501,0.9362787008285522,0.9156433939933777,0.9416227340698242,-51.38,1,4ZQK_binder_1,SolubleMPNN,76
11,cand02473,0.909,0.7579,0.9366210699081421,0.8973543047904968,0.9228110909461975,-48.92,1,4Z18_binder_8,ProteinMPNN,80
12,cand01165,0.908,0.7581,0.9366308450698853,0.8962476849555969,0.9269678592681885,-45.64,1,4ZQK_binder_1,SolubleMPNN,76
13,cand00150,0.908,0.7896,0.8914581537246704,0.9042249321937561,0.9348746538162231,-47.56,1,5C3T_binder_15,SolubleMPNN,84
14,cand02479,0.907,0.7539,0.9184684157371521,0.9170749187469482,0.9322702884674072,-47.06,1,4Z18_binder_8,ProteinMPNN,80
15,cand01347,0.907,0.7955,0.9232288002967834,0.861186683177948,0.9143990874290466,-51.82,1,4ZQK_binder_1,SolubleMPNN,76
16,cand01522,0.902,0.736,0.9423917531967163,0.8972370028495789,0.933045506477356,-44.38,1,4ZQK_binder_1,SolubleMPNN,76
17,cand02441,0.901,0.7513,0.9251737594604492,0.8947274088859558,0.9267867207527161,-53.09,1,4Z18_binder_8,SolubleMPNN,80
18,cand01790,0.899,0.7285,0.9486343264579773,0.8925150036811829,0.9299572110176086,-48.65,1,pdl1_binder_0,ProteinMPNN,80
19,cand02429,0.899,0.72,0.929368793964386,0.9195648431777954,0.9460951089859009,-55.97,1,4Z18_binder_4,ProteinMPNN,66
20,cand01943,0.897,0.6948,0.9434126615524292,0.9303569793701172,0.9536643624305725,-43.52,1,4ZQK_binder_1,ProteinMPNN,76
21,cand01838,0.895,0.7214,0.9255949258804321,0.9109395742416382,0.9430180191993713,-47.36,1,4ZQK_binder_13,SolubleMPNN,76
22,cand02138,0.892,0.7561,0.9368235468864441,0.8506499528884888,0.9023360013961792,-58.14,1,pdl1_binder_0,SolubleMPNN,80
23,cand01831,0.891,0.722,0.9387669563293457,0.8860806822776794,0.9253632426261902,-43.83,1,pdl1_binder_0,ProteinMPNN,80
24,cand02248,0.890,0.6949,0.9305835962295532,0.92270827293396,0.9430744647979736,-40.97,1,4Z18_binder_14,ProteinMPNN,74
25,cand02321,0.889,0.7244,0.9332047700881958,0.8829994201660156,0.926443338394165,-46.01,1,4Z18_binder_14,ProteinMPNN,74
26,cand02218,0.887,0.6976,0.9302324056625366,0.9113011360168457,0.9328709840774536,-54.56,1,4ZQK_binder_2,SolubleMPNN,67
27,cand02299,0.886,0.7257,0.9406841397285461,0.8638289570808411,0.9200029969215393,-55.79,1,pdl1_binder_0,SolubleMPNN,80
28,cand00066,0.883,0.7581,0.8214612603187561,0.9349356889724731,0.9509124159812927,-50.08,1,4ZQK_binder_3,ProteinMPNN,83
29,cand02153,0.883,0.7223,0.9430538415908813,0.8551260828971863,0.8996890187263489,-56.97,1,pdl1_binder_0,SolubleMPNN,80
30,cand01739,0.882,0.7068,0.9050771594047546,0.9091559052467346,0.9402502775192261,-45.69,1,4ZQK_binder_1,SolubleMPNN,76
31,cand01590,0.882,0.7112,0.9023420810699463,0.9060527682304382,0.9344022870063782,-41.02,1,pdl1_binder_0,ProteinMPNN,80
32,cand02050,0.880,0.6937,0.9233768582344055,0.9015280604362488,0.9231553673744202,-42.54,1,pdl1_binder_3,SolubleMPNN,72
33,cand01958,0.880,0.7334,0.9136521816253662,0.8624067306518555,0.9099521636962891,-55.46,1,pdl1_binder_0,ProteinMPNN,80
34,cand02269,0.874,0.7176,0.936142086982727,0.8402915596961975,0.9052015542984009,-47.0,1,pdl1_binder_0,SolubleMPNN,80
35,cand02286,0.874,0.7198,0.9288986325263977,0.8449081778526306,0.9102030992507935,-49.17,1,pdl1_binder_0,SolubleMPNN,80
36,cand02070,0.870,0.6951,0.9009053111076355,0.8902153968811035,0.9275844693183899,-56.22,1,pdl1_binder_0,SolubleMPNN,80
37,cand02300,0.866,0.7614,0.932380735874176,0.7705920934677124,0.8716557025909424,-58.93,1,pdl1_binder_0,SolubleMPNN,80
38,cand02117,0.863,0.7449,0.9521112442016602,0.7606626749038696,0.871678352355957,-46.46,1,4Z18_binder_13,SolubleMPNN,75
39,cand02115,0.855,0.7312,0.9451946020126343,0.7603923678398132,0.8679051399230957,-50.06,1,4Z18_binder_13,SolubleMPNN,75
40,cand02161,0.841,0.7266,0.9410184621810913,0.7276251316070557,0.8572865724563599,-63.8,1,pdl1_binder_0,SolubleMPNN,80
41,cand01770,0.841,0.7021,0.9139134287834167,0.7833874225616455,0.8820987343788147,-54.01,1,pdl1_binder_0,ProteinMPNN,80
42,cand00658,0.778,0.7169,0.8962491750717163,0.5932801365852356,0.797957718372345,-48.91,0,5C3T_binder_4,SolubleMPNN,82
43,cand01469,0.777,0.6903,0.9291462898254395,0.5889865756034851,0.8013539910316467,-42.51,0,pdl1_binder_3,SolubleMPNN,72
44,cand01526,0.775,0.6972,0.9207441806793213,0.5832467675209045,0.8032743334770203,-47.51,0,4Z18_binder_15,SolubleMPNN,66
45,cand02170,0.772,0.7511,0.8451710939407349,0.5874144434928894,0.7578295469284058,-52.33,0,4Z18_binder_7,ProteinMPNN,85
46,cand01320,0.766,0.7108,0.9137274026870728,0.5485135316848755,0.7958780527114868,-50.79,0,4Z18_binder_11,SolubleMPNN,67
47,cand01894,0.765,0.7204,0.9071543216705322,0.5392047762870789,0.782559335231781,-44.4,0,5C3T_binder_0,ProteinMPNN,79
48,cand02343,0.718,0.7272,0.8626813888549805,0.43607863783836365,0.7653711438179016,-49.81,0,4Z18_binder_6,SolubleMPNN,65
