cand,sc_dockq,irms,Lrms,fnat,bsa,n_int_res,n_contact
cand00001,0.366,2.26,6.256,0.143,610.2,35,46
cand00003,0.311,4.474,9.075,0.364,584.1,34,46
cand00005,0.245,3.542,10.399,0.182,613.4,33,41
cand00013,0.59,1.976,5.882,0.727,711.4,40,57
cand00014,0.427,2.498,5.148,0.286,867.0,49,54
cand00020,0.034,14.405,27.027,0.0,674.4,36,43
cand00027,0.092,6.257,15.96,0.0,642.3,40,41
cand00031,0.893,0.74,0.999,0.889,917.1,49,64
cand00033,0.447,2.956,5.794,0.455,755.6,42,48
cand00042,0.615,1.464,2.782,0.429,812.7,44,53
cand00044,0.232,7.377,16.44,0.444,771.9,45,61
cand00054,0.193,3.954,9.324,0.0,660.1,42,50
cand00061,0.078,10.014,30.941,0.143,569.0,30,40
cand00073,0.894,0.725,1.164,0.889,887.4,50,68
cand00079,0.323,2.507,6.738,0.091,699.3,38,41
cand00081,0.156,4.179,11.504,0.0,539.9,34,36
cand00085,0.5,2.479,6.108,0.571,549.1,31,38
cand00086,0.061,8.817,19.945,0.0,724.6,47,52
cand00091,0.049,10.797,22.3,0.0,605.5,38,45
cand00094,0.882,0.809,1.168,0.889,896.5,46,62
cand00105,0.483,2.227,4.608,0.364,401.2,22,18
cand00122,0.06,9.254,19.807,0.0,575.1,40,81
cand00125,0.188,3.878,9.684,0.0,629.2,36,41
cand00127,0.331,4.407,9.678,0.455,749.8,43,53
cand00139,0.733,1.146,5.406,0.857,567.9,32,41
cand00151,0.315,3.367,6.003,0.111,569.5,42,61
cand00155,0.035,12.125,27.253,0.0,678.6,39,42
cand00157,0.102,6.015,14.86,0.0,525.6,44,110
cand00158,0.425,2.483,5.258,0.286,823.1,43,45
cand00160,0.035,13.097,26.469,0.0,671.0,40,50
cand00163,0.267,4.78,9.632,0.273,440.3,33,42
cand00169,0.892,0.745,1.043,0.889,919.7,50,65
cand00171,0.187,4.49,9.19,0.0,831.8,47,63
cand00172,0.26,3.158,7.015,0.0,765.6,39,50
cand00182,0.76,1.045,4.912,0.857,591.6,34,40
cand00199,0.04,11.798,24.825,0.0,549.3,30,37
cand00205,0.826,0.906,1.579,0.778,820.8,43,57
cand00207,0.509,2.417,4.914,0.5,854.7,45,56
cand00208,0.169,4.051,10.702,0.0,422.9,28,27
cand00211,0.45,1.973,5.418,0.273,466.1,24,25
cand00214,0.166,4.701,10.299,0.0,733.1,42,47
cand00220,0.043,12.636,23.507,0.0,645.2,37,43
cand00222,0.092,5.266,16.939,0.0,449.4,41,83
cand00233,0.323,8.943,15.722,0.714,485.6,40,86
cand00244,0.424,2.997,6.339,0.429,791.1,45,54
cand00246,0.304,3.995,9.287,0.333,844.7,46,56
cand00262,0.667,2.036,4.354,0.857,751.1,39,49
cand00265,0.04,10.321,25.589,0.0,674.8,37,43
cand00266,0.027,10.824,32.725,0.0,638.8,34,47
cand00268,0.841,0.802,3.03,0.857,710.7,39,49
cand00269,0.247,3.967,9.392,0.167,760.9,41,49
cand00271,0.263,3.152,6.891,0.0,425.0,26,22
cand00272,0.257,4.086,10.852,0.273,601.4,39,47
cand00273,0.325,3.221,7.304,0.222,774.1,43,46
