rank,cand,composite,ipsae_avg,scdq_avg,z_ipsae,z_scdq,bz_ipsae,es_ipsae,bz_scdq,es_scdq
1,cand00073,5.417,0.8996,0.9120,1.134,0.881,0.9228,0.8764,0.893,0.931
2,cand00725,5.361,0.8938,0.9245,1.087,1.014,0.9038,0.8838,0.943,0.906
3,cand00169,5.282,0.8978,0.9050,1.119,0.806,0.9241,0.8714,0.922,0.888
4,cand01918,4.941,0.8842,0.9145,1.008,0.907,0.8955,0.8729,0.956,0.873
5,cand00224,4.721,0.9006,0.8435,1.142,0.152,0.8984,0.9028,0.952,0.735
6,cand00106,4.243,0.8938,0.8195,1.087,-0.104,0.9032,0.8844,0.859,0.78
7,cand01943,4.200,0.8643,0.9060,0.846,0.817,0.8776,0.851,0.904,0.908
8,cand01490,3.985,0.8499,0.9300,0.728,1.072,0.8847,0.8151,0.94,0.92
9,cand00205,3.961,0.8637,0.8855,0.841,0.599,0.884,0.8433,0.86,0.911
10,cand02270,3.732,0.8376,0.9440,0.628,1.221,0.9176,0.7576,0.934,0.954
11,cand01522,3.609,0.8561,0.8755,0.779,0.492,0.8697,0.8426,0.889,0.862
12,cand01165,2.638,0.8209,0.8925,0.491,0.673,0.8594,0.7824,0.932,0.853
13,cand01514,1.901,0.8029,0.8785,0.344,0.524,0.8565,0.7493,0.898,0.859
14,cand02479,1.835,0.8039,0.8690,0.353,0.423,0.8299,0.778,0.893,0.845
15,cand02473,1.630,0.8042,0.8490,0.355,0.210,0.8625,0.7459,0.796,0.902
16,cand01831,1.556,0.8047,0.8405,0.359,0.120,0.8607,0.7487,0.762,0.919
17,cand02321,1.247,0.7852,0.8715,0.199,0.450,0.8365,0.7338,0.877,0.866
18,cand01590,1.146,0.7712,0.9050,0.085,0.806,0.7529,0.7894,0.868,0.942
19,cand02153,0.977,0.7954,0.8145,0.283,-0.157,0.8708,0.7201,0.956,0.673
20,cand01347,0.742,0.7705,0.8690,0.080,0.423,0.8291,0.7119,0.883,0.855
21,cand02441,0.580,0.7731,0.8460,0.101,0.178,0.815,0.7311,0.91,0.782
22,cand02138,0.429,0.7550,0.8870,-0.046,0.615,0.8653,0.6448,0.866,0.908
23,cand01739,0.406,0.7829,0.7995,0.181,-0.316,0.7616,0.8041,0.928,0.671
24,cand01790,0.398,0.8193,0.6870,0.478,-1.514,0.8633,0.7752,0.869,0.505
25,cand02070,0.188,0.7613,0.8450,0.005,0.168,0.7634,0.7593,0.88,0.81
26,cand02269,0.080,0.7706,0.8065,0.081,-0.242,0.862,0.6792,0.838,0.775
27,cand02248,0.051,0.8095,0.6845,0.398,-1.540,0.8145,0.8044,0.68,0.689
28,cand02286,-0.037,0.7435,0.8785,-0.140,0.524,0.8179,0.6692,0.932,0.825
29,cand02050,-0.174,0.7625,0.8075,0.014,-0.231,0.7783,0.7467,0.835,0.78
30,cand02300,-0.211,0.7174,0.9425,-0.354,1.205,0.8392,0.5956,0.958,0.927
31,cand01838,-0.384,0.8255,0.5945,0.529,-2.498,0.8362,0.8147,0.676,0.513
32,cand02299,-1.070,0.7748,0.6855,0.115,-1.529,0.8443,0.7053,0.682,0.689
33,cand01770,-1.156,0.7256,0.8285,-0.287,-0.008,0.8072,0.644,0.821,0.836
34,cand02117,-1.618,0.7310,0.7685,-0.243,-0.646,0.8915,0.5705,0.747,0.79
35,cand01958,-1.743,0.7275,0.7675,-0.271,-0.657,0.7836,0.6714,0.823,0.712
36,cand02161,-2.163,0.6614,0.9310,-0.811,1.083,0.8536,0.4692,0.941,0.921
37,cand02115,-2.790,0.7013,0.7495,-0.485,-0.849,0.8577,0.5449,0.819,0.68
38,cand00150,-5.149,0.6532,0.6755,-0.878,-1.636,0.6495,0.6569,0.6,0.751
39,cand01320,-6.650,0.5444,0.8685,-1.767,0.418,0.7543,0.3345,0.879,0.858
40,cand01526,-8.472,0.5806,0.5860,-1.471,-2.588,0.7548,0.4065,0.69,0.482
41,cand01469,-8.524,0.5232,0.7575,-1.940,-0.763,0.7874,0.259,0.81,0.705
42,cand00658,-11.050,0.4793,0.6550,-2.299,-1.854,0.7139,0.2446,0.666,0.644
43,cand02343,-14.066,0.2888,0.9565,-3.855,1.354,0.5474,0.0301,0.947,0.966
