cand,ipsae_min,sc_dockq,bsa,ddg,dSASA,cms,nres,irms,Lrms,fnat,ncontact,consensus_pass
cand00073,0.8031,0.868,970.4,-60.11,1848.8,441.2,77,0.871,1.589,0.889,97,1
cand00169,0.8001,0.901,961.9,-57.58,1780.6,421.7,69,0.66,1.332,0.889,98,1
cand00106,0.7992,0.805,910.5,-46.58,1721.0,396.5,74,0.982,1.595,0.75,83,1
cand00031,0.7980,0.89,1011.6,-58.84,1907.0,462.6,75,0.758,1.116,0.889,97,1
cand01347,0.7955,0.661,989.0,-51.82,1851.1,444.8,73,1.554,3.787,0.667,99,1
cand00150,0.7896,0.723,938.3,-47.56,1778.4,414.9,70,1.294,2.371,0.667,92,1
cand00224,0.7890,0.792,947.1,-52.17,1764.7,413.7,80,1.042,1.931,0.75,95,1
cand00375,0.7890,0.732,844.7,-38.88,1607.2,370.6,72,0.939,1.322,0.5,76,0
cand00074,0.7764,0.819,870.2,-47.27,1628.4,359.7,73,0.917,1.214,0.75,82,0
cand00725,0.7745,0.833,985.5,-53.69,1857.4,426.8,78,0.974,1.668,0.833,98,1
cand00747,0.7710,0.153,919.4,-44.43,1697.4,327.6,55,5.007,10.958,0.0,71,0
cand00342,0.7693,0.668,939.8,-44.63,1808.3,401.7,62,1.281,2.418,0.5,86,1
cand01927,0.7671,0.34,871.7,-36.08,1658.8,391.2,64,3.134,7.198,0.25,82,0
cand00205,0.7649,0.887,908.0,-45.74,1719.2,379.4,72,0.782,1.05,0.889,87,1
cand01549,0.7648,0.803,976.1,-54.40,1853.6,471.0,68,1.348,3.494,1.0,96,1
cand01692,0.7631,,996.2,-48.00,1920.8,413.3,63,,,,89,0
cand01736,0.7630,0.226,743.4,-30.61,1330.1,306.2,57,3.641,7.956,0.0,66,0
cand00159,0.7626,0.825,893.2,-45.75,1691.1,393.9,72,0.811,1.927,0.75,92,1
cand01775,0.7623,0.881,980.1,-50.95,1889.4,451.4,74,0.999,1.948,1.0,98,1
cand02300,0.7614,0.943,1096.0,-58.93,2041.1,455.1,80,0.632,1.226,1.0,107,1
cand00395,0.7612,0.641,951.5,-48.88,1784.9,420.0,67,1.496,2.475,0.5,84,1
cand00066,0.7581,0.799,1005.5,-50.08,1847.2,448.0,78,0.998,1.849,0.75,100,1
cand01165,0.7581,0.825,947.4,-45.64,1813.8,374.6,70,1.186,3.438,1.0,89,1
cand02473,0.7579,0.884,1002.1,-48.92,1885.7,432.2,73,0.87,2.774,1.0,87,1
cand02270,0.7567,0.919,1126.6,-54.62,2123.7,500.0,82,0.764,1.689,1.0,98,1
cand02100,0.7561,0.864,1047.6,-58.66,1978.5,533.6,83,1.034,2.584,1.0,110,1
cand02138,0.7561,0.877,1132.0,-58.14,2128.8,547.4,82,0.732,1.596,0.857,105,1
cand00534,0.7557,0.681,1100.4,-47.94,2057.1,459.1,70,1.193,2.348,0.5,93,1
cand02479,0.7539,0.892,1080.6,-47.06,2001.9,385.8,61,0.838,2.598,1.0,88,1
cand00332,0.7538,0.77,972.1,-51.55,1849.1,424.4,77,1.163,2.211,0.75,93,1
cand00451,0.7533,0.644,987.3,-47.35,1843.8,429.9,70,1.394,2.906,0.5,85,1
cand01918,0.7531,0.84,984.1,-57.54,1909.7,503.3,71,1.189,2.747,1.0,96,1
cand02441,0.7513,0.875,1097.0,-53.09,2040.7,447.4,71,0.881,3.106,1.0,91,1
cand02170,0.7511,0.819,1242.1,-52.33,2331.1,502.1,94,0.921,2.624,0.818,119,1
cand01514,0.7501,0.873,1010.2,-51.38,1858.8,452.8,79,0.949,2.782,1.0,98,1
cand00297,0.7495,0.658,936.1,-42.13,1712.1,371.8,62,1.385,2.257,0.5,82,1
cand02475,0.7481,0.897,1100.1,-48.94,2077.3,475.8,69,0.807,2.595,1.0,100,1
cand02253,0.7472,0.835,1106.5,-54.51,2066.8,488.9,82,0.957,2.193,0.857,105,1
cand00115,0.7452,0.016,-0.0,0.00,0.0,,0,21.018,40.771,0.0,0,0
cand02117,0.7449,0.806,901.0,-46.46,1696.7,398.3,77,0.864,1.91,0.714,89,1
cand01687,0.7423,0.827,942.2,-58.08,1760.5,473.1,72,1.278,2.794,1.0,98,1
cand00408,0.7402,0.682,900.8,-40.16,1726.4,382.2,62,1.207,2.188,0.5,86,1
cand01868,0.7398,0.817,932.7,-45.42,1709.7,387.9,74,1.309,3.086,1.0,94,1
cand01864,0.7398,,983.2,-38.63,1831.2,359.6,67,,,,94,0
cand00094,0.7382,0.895,888.3,-50.42,1731.5,395.9,71,0.737,0.796,0.889,87,1
cand01485,0.7381,0.844,970.0,-55.91,1774.0,420.2,71,1.147,2.812,1.0,101,1
cand01522,0.7360,0.906,922.9,-44.38,1691.0,429.3,72,0.828,1.893,1.0,88,1
cand01490,0.7335,0.891,1042.6,-56.85,1966.8,487.2,73,0.956,1.66,1.0,105,1
cand01958,0.7334,0.814,1106.0,-55.46,2125.0,517.6,83,1.36,2.931,1.0,103,1
cand02115,0.7312,0.824,929.8,-50.06,1793.2,404.6,80,0.77,1.602,0.714,87,1
cand01296,0.7312,0.831,949.9,-48.93,1821.6,434.1,77,1.212,3.031,1.0,88,1
cand02474,0.7301,0.905,908.1,-43.97,1726.7,453.7,72,0.835,1.889,1.0,83,1
cand02162,0.7297,0.663,903.8,-39.93,1766.3,379.6,68,1.504,3.333,0.625,87,0
cand02203,0.7295,0.3,821.1,-38.03,1586.1,365.1,61,3.942,9.186,0.312,78,0
cand01933,0.7291,0.855,1023.3,-64.70,1904.8,432.3,72,1.148,2.23,1.0,98,1
cand01884,0.7287,0.9,977.7,-53.40,1848.8,419.3,69,0.905,1.576,1.0,90,1
cand01790,0.7285,0.827,958.0,-48.65,1782.9,419.8,74,0.989,2.394,0.857,88,1
cand00718,0.7284,0.879,756.4,-44.04,1413.8,322.0,57,0.713,1.648,0.857,66,0
cand02343,0.7272,0.912,1099.6,-49.81,2101.4,454.9,82,0.701,2.568,1.0,110,1
cand02161,0.7266,0.926,1116.1,-63.80,2134.8,521.6,79,0.667,2.069,1.0,101,1
cand01782,0.7260,0.833,1013.2,-56.09,1895.4,456.8,71,1.182,3.124,1.0,95,1
cand02299,0.7257,0.693,1053.8,-55.79,2017.3,469.2,79,1.545,3.146,0.714,96,1
cand00122,0.7252,0.031,686.7,137.11,1245.4,221.3,60,8.242,33.346,0.0,56,0
cand01072,0.7247,0.032,991.8,-47.52,1843.2,381.0,62,14.322,28.123,0.0,86,0
cand02321,0.7244,0.833,940.6,-46.01,1818.9,383.8,73,1.006,2.229,0.875,93,1
cand00401,0.7233,0.772,654.7,-39.18,1247.3,282.6,52,1.011,4.624,0.857,61,0
cand02153,0.7223,0.669,1031.4,-56.97,1960.0,444.4,78,1.663,3.672,0.714,94,1
cand02033,0.7221,0.033,899.0,-43.40,1713.8,436.8,63,8.068,31.991,0.0,78,0
cand01831,0.7220,0.834,1128.3,-43.83,2112.3,401.9,77,1.013,1.796,0.857,93,1
cand01838,0.7214,0.447,924.1,-47.36,1755.5,391.2,67,2.739,7.856,0.571,81,1
cand01894,0.7204,0.317,894.4,-44.40,1667.8,387.1,60,3.305,8.842,0.3,83,1
cand02429,0.7200,0.773,974.9,-55.97,1775.4,442.9,70,0.782,1.954,0.583,95,1
cand01928,0.7199,0.938,1073.6,-51.50,2042.2,423.4,81,0.616,1.737,1.0,97,1
cand02286,0.7198,0.657,1050.6,-49.17,1940.4,446.9,79,1.44,3.133,0.571,87,1
cand02471,0.7195,0.917,993.6,-49.34,1897.2,429.3,66,0.713,2.262,1.0,96,1
cand02269,0.7176,0.826,1076.5,-47.00,2006.3,448.5,69,1.056,1.905,0.857,91,1
cand01635,0.7175,0.38,796.1,-37.93,1481.5,310.9,67,2.155,4.061,0.0,69,0
cand00658,0.7169,0.811,898.9,-48.91,1636.3,369.9,65,1.19,1.696,0.857,83,1
cand00465,0.7163,0.827,898.5,-39.47,1677.6,356.0,66,1.07,1.688,0.857,87,0
cand01299,0.7162,0.754,919.9,-50.22,1740.7,440.1,70,1.039,2.53,0.667,94,1
cand00806,0.7161,0.177,964.1,-44.18,1824.0,354.5,71,4.792,9.544,0.0,81,0
cand00686,0.7158,0.71,648.8,-34.43,1152.3,247.7,48,1.215,5.969,0.857,55,0
cand00973,0.7148,0.67,647.8,-32.98,1247.3,270.0,48,1.358,6.911,0.857,59,0
cand00503,0.7146,0.155,939.8,-41.65,1784.8,342.8,65,5.022,10.818,0.0,81,0
cand01121,0.7142,0.025,1059.5,-49.90,1979.5,456.6,79,11.709,34.308,0.0,88,0
cand01052,0.7140,0.006,115.7,-4.78,214.9,35.7,11,30.308,65.311,0.0,6,0
cand01471,0.7137,,892.6,-39.04,1660.1,372.5,64,,,,76,0
cand01349,0.7135,,1078.1,-47.63,2051.3,427.7,70,,,,91,0
cand01655,0.7132,0.027,1001.7,-46.80,1910.0,397.7,71,8.857,35.501,0.0,93,0
cand00182,0.7127,0.811,665.9,-33.94,1279.3,275.6,55,0.89,3.753,0.857,60,0
cand02477,0.7126,0.794,1079.9,-44.24,2035.5,451.2,80,1.28,4.219,1.0,89,1
cand02276,0.7121,0.83,923.3,-45.09,1755.4,386.3,71,0.937,2.92,0.875,83,1
cand01738,0.7116,0.52,941.0,-40.00,1776.6,360.1,71,2.48,6.57,0.667,86,1
cand00549,0.7113,0.842,662.8,-35.97,1252.6,271.1,49,0.883,2.425,0.857,58,0
cand01590,0.7112,0.921,1110.5,-41.02,2031.7,398.2,78,0.76,1.535,1.0,100,1
cand01320,0.7108,0.914,1014.6,-50.79,1923.0,434.6,72,0.844,1.121,1.0,87,1
cand02025,0.7108,0.029,922.5,-50.44,1674.5,400.7,68,8.923,34.228,0.0,85,0
cand01248,0.7105,0.397,862.9,-40.87,1627.5,356.3,71,2.285,4.932,0.143,77,0
cand00231,0.7103,0.591,922.4,-39.15,1707.5,337.7,60,1.719,3.718,0.5,74,0
cand00437,0.7099,0.034,949.4,-47.40,1802.8,427.9,67,12.118,27.396,0.0,83,0
cand01677,0.7087,0.347,770.8,-34.15,1430.4,300.0,66,2.683,6.119,0.143,73,0
cand00268,0.7086,0.761,770.3,-45.85,1487.9,339.5,56,1.15,4.303,0.857,65,0
cand00355,0.7084,0.637,973.4,-41.57,1854.3,340.6,70,2.162,5.761,0.9,90,0
cand00172,0.7076,0.258,793.1,-32.46,1489.7,306.3,61,3.175,7.049,0.0,74,0
cand01739,0.7068,0.866,957.3,-45.69,1792.3,373.3,67,1.089,2.093,1.0,88,1
cand01642,0.7066,0.882,954.8,-48.99,1757.9,404.6,77,0.961,2.192,1.0,95,1
cand00270,0.7066,0.844,881.7,-34.17,1663.6,325.0,63,0.938,1.832,0.857,82,0
cand00321,0.7056,0.701,656.0,-32.39,1245.8,273.7,51,1.26,6.099,0.857,58,0
cand00713,0.7053,0.885,822.6,-42.23,1514.4,340.1,60,0.696,1.362,0.857,69,0
cand00922,0.7047,0.838,706.5,-37.50,1277.3,280.4,53,0.841,2.89,0.857,65,0
cand00320,0.7046,0.776,767.7,-31.55,1405.4,325.3,60,1.06,2.033,0.714,78,0
cand01781,0.7045,,895.6,-38.48,1651.7,371.5,62,,,,82,0
cand00139,0.7033,0.709,609.8,-32.52,1144.3,230.3,50,1.264,5.759,0.857,58,0
cand00765,0.7024,0.744,629.2,-37.51,1207.3,266.3,48,1.123,5.122,0.857,56,0
cand01770,0.7021,0.932,1117.2,-54.01,2072.6,494.3,76,0.708,1.269,1.0,102,1
cand01922,0.7021,0.926,1161.2,-47.78,2146.2,465.4,78,0.761,1.122,1.0,107,1
cand01779,0.7020,0.652,1005.0,-42.53,1899.1,435.4,78,1.249,2.2,0.429,94,1
cand02238,0.7020,0.383,873.7,-35.21,1677.5,314.1,68,3.024,6.696,0.333,78,0
cand02023,0.7016,,888.4,-41.15,1660.6,327.0,68,,,,81,0
cand01502,0.6998,0.708,1009.4,-49.25,1908.6,430.7,70,1.066,3.013,0.571,89,1
cand00850,0.6995,0.88,760.1,-38.27,1412.1,273.1,56,0.693,1.732,0.857,62,0
cand01920,0.6991,0.895,1007.2,-45.85,1947.1,475.1,78,0.657,0.863,0.857,92,1
