cand,ipsae_min,sc_dockq
cand00073,0.9228,0.893
cand00169,0.9241,0.922
cand00106,0.9032,0.859
cand01347,0.8291,0.883
cand00150,0.6495,0.6
cand00224,0.8984,0.952
cand00725,0.9038,0.943
cand00205,0.8840,0.86
cand02300,0.8392,0.958
cand01165,0.8594,0.932
cand00066,0.3623,0.037
cand02473,0.8625,0.796
cand02270,0.9176,0.934
cand02138,0.8653,0.866
cand02479,0.8299,0.893
cand01918,0.8955,0.956
cand02441,0.8150,0.91
cand02170,0.4358,0.093
cand01514,0.8565,0.898
cand02117,0.8915,0.747
cand01522,0.8697,0.889
cand01490,0.8847,0.94
cand01958,0.7836,0.823
cand02115,0.8577,0.819
cand01790,0.8633,0.869
cand02343,0.5474,0.947
cand02161,0.8536,0.941
cand02299,0.8443,0.682
cand02321,0.8365,0.877
cand02153,0.8708,0.956
cand01831,0.8607,0.762
cand01838,0.8362,0.676
cand01894,0.7334,0.817
cand02429,0.8104,0.792
cand02286,0.8179,0.932
cand02269,0.8620,0.838
cand00658,0.7139,0.666
cand01590,0.7529,0.868
cand01320,0.7543,0.879
cand01739,0.7616,0.928
cand01770,0.8072,0.821
cand02218,0.8114,0.56
cand01526,0.7548,0.69
cand02070,0.7634,0.88
cand02248,0.8145,0.68
cand01943,0.8776,0.904
cand02050,0.7783,0.835
cand01469,0.7874,0.81
