rank,cand,composite,pose_pass3,ipsae_avg,scdq_avg,bz_ipsae,ef_ipsae,bz_scdq,ef_scdq,px_scdq,px_iptm,backbone,method
1,cand00169,6.038,1,0.9076,0.8927,0.9241,0.891,0.922,0.879,0.877,0.965605,5C3T_binder_3,ProteinMPNN
2,cand00073,5.748,1,0.8923,0.9120,0.9228,0.8619,0.893,0.923,0.92,0.962667,5C3T_binder_3,SolubleMPNN
3,cand01918,5.187,1,0.8640,0.9457,0.8955,0.8326,0.956,0.94,0.941,0.939499,4ZQK_binder_1,ProteinMPNN
4,cand00725,5.074,1,0.8674,0.9220,0.9038,0.8309,0.943,0.912,0.911,0.918717,5C3T_binder_12,ProteinMPNN
5,cand00224,4.730,1,0.8640,0.8950,0.8984,0.8297,0.952,0.823,0.91,0.953123,4ZQK_binder_3,SolubleMPNN
6,cand01490,4.499,1,0.8443,0.9363,0.8847,0.8039,0.94,0.944,0.925,0.907942,4ZQK_binder_1,SolubleMPNN
7,cand00106,4.148,1,0.8461,0.8913,0.9032,0.789,0.859,0.907,0.908,0.944638,4ZQK_binder_3,SolubleMPNN
8,cand02270,3.852,1,0.8210,0.9437,0.9176,0.7243,0.934,0.946,0.951,0.934088,pdl1_binder_0,SolubleMPNN
9,cand01165,3.282,1,0.8054,0.9333,0.8594,0.7513,0.932,0.92,0.948,0.932593,4ZQK_binder_1,SolubleMPNN
10,cand01831,3.282,1,0.8203,0.8827,0.8607,0.7799,0.762,0.927,0.959,0.914447,pdl1_binder_0,ProteinMPNN
11,cand00205,3.130,1,0.8199,0.8670,0.884,0.7559,0.86,0.863,0.878,0.925594,5C3T_binder_3,ProteinMPNN
12,cand02299,2.856,1,0.8595,0.7027,0.8443,0.8747,0.682,0.687,0.739,0.892224,pdl1_binder_0,SolubleMPNN
13,cand02479,2.774,1,0.7969,0.9057,0.8299,0.7639,0.893,0.884,0.94,0.920427,4Z18_binder_8,ProteinMPNN
14,cand01790,2.735,1,0.7975,0.8993,0.8633,0.7317,0.869,0.959,0.87,0.895717,pdl1_binder_0,ProteinMPNN
15,cand02473,2.654,1,0.8102,0.8473,0.8625,0.7579,0.796,0.819,0.927,0.922756,4Z18_binder_8,ProteinMPNN
16,cand01943,2.071,1,0.7773,0.8940,0.8776,0.6771,0.904,0.886,0.892,0.925827,4ZQK_binder_1,ProteinMPNN
17,cand02153,1.851,1,0.7887,0.8313,0.8708,0.7065,0.956,0.785,0.753,0.902047,pdl1_binder_0,SolubleMPNN
18,cand02441,1.749,1,0.7805,0.8477,0.815,0.746,0.91,0.928,0.705,0.714963,4Z18_binder_8,SolubleMPNN
19,cand02286,1.561,1,0.7759,0.8423,0.8179,0.7339,0.932,0.77,0.825,0.91878,pdl1_binder_0,SolubleMPNN
20,cand01514,1.523,1,0.7705,0.8567,0.8565,0.6844,0.898,0.877,0.795,0.877124,4ZQK_binder_1,SolubleMPNN
21,cand02269,1.270,1,0.7560,0.8773,0.862,0.6501,0.838,0.892,0.902,0.94443,pdl1_binder_0,SolubleMPNN
22,cand02161,1.191,1,0.7332,0.9460,0.8536,0.6128,0.941,0.941,0.956,0.936802,pdl1_binder_0,SolubleMPNN
23,cand02050,0.424,1,0.7448,0.8217,0.7783,0.7113,0.835,0.772,0.858,0.816661,pdl1_binder_3,SolubleMPNN
24,cand02138,0.147,1,0.7100,0.9087,0.8653,0.5548,0.866,0.91,0.95,0.911995,pdl1_binder_0,SolubleMPNN
25,cand01522,0.040,1,0.7414,0.7907,0.8697,0.6131,0.889,0.752,0.731,0.904077,4ZQK_binder_1,SolubleMPNN
26,cand01770,-0.270,1,0.7104,0.8613,0.8072,0.6136,0.821,0.818,0.945,0.894243,pdl1_binder_0,ProteinMPNN
