design,pred,bsa,n_int_res,n_contact,cA_nres,cB_nres
mythos_preview_multi_target_pdl1_rank01,afm3,894.6,43,57,115,75
mythos_preview_multi_target_pdl1_rank02,afm3,907.3,43,54,115,75
mythos_preview_multi_target_pdl1_rank03,afm3,908.1,43,56,115,75
mythos_preview_multi_target_pdl1_rank04,afm3,964.4,57,84,115,64
mythos_preview_multi_target_pdl1_rank05,afm3,756.3,41,57,115,87
mythos_preview_multi_target_pdl1_rank06,afm3,802.8,41,54,115,87
mythos_preview_multi_target_pdl1_rank07,afm3,792.0,41,58,115,87
mythos_preview_multi_target_pdl1_rank08,afm3,969.8,58,85,115,64
mythos_preview_multi_target_pdl1_rank09,afm3,841.0,45,56,115,75
mythos_preview_multi_target_pdl1_rank10,afm3,991.3,58,84,115,64
mythos_preview_multi_target_pdl1_rank11,afm3,998.9,50,66,115,75
mythos_preview_multi_target_pdl1_rank12,afm3,924.9,46,61,115,75
mythos_preview_multi_target_pdl1_rank13,afm3,925.9,44,60,115,75
mythos_preview_multi_target_pdl1_rank14,afm3,811.7,47,58,115,75
mythos_preview_multi_target_pdl1_rank15,afm3,720.6,39,50,115,75
mythos_preview_multi_target_pdl1_rank16,afm3,749.5,41,52,115,75
mythos_preview_multi_target_pdl1_rank17,afm3,799.1,43,59,115,75
mythos_preview_multi_target_pdl1_rank18,afm3,932.7,44,58,115,64
mythos_preview_multi_target_pdl1_rank19,afm3,790.3,42,50,115,75
mythos_preview_multi_target_pdl1_rank20,afm3,819.3,40,51,115,75
