cand,esm_full_ptm,esm_full_iptm
cand00073,0.9517,0.9429
cand00169,0.9623,0.9546
cand00106,0.9347,0.9023
cand01347,0.9006,0.8222
cand00150,0.9480,0.9210
cand00224,0.9440,0.9191
cand00725,0.9488,0.9260
cand00205,0.9369,0.9096
cand02300,0.8820,0.7695
cand01165,0.9252,0.8903
cand00066,0.9601,0.9470
cand02473,0.9300,0.8976
cand02270,0.9279,0.8743
cand02138,0.8919,0.7907
cand02479,0.9299,0.9073
cand01918,0.9429,0.9213
cand02441,0.9332,0.9072
cand02170,0.8700,0.8434
cand01514,0.9159,0.8620
cand02117,0.8522,0.6989
cand01522,0.8930,0.8293
cand01490,0.9394,0.9077
cand01958,0.8942,0.8233
cand02115,0.9102,0.8373
cand01790,0.9311,0.8925
cand02343,0.7226,0.3354
cand02161,0.9120,0.8358
cand02299,0.9602,0.9415
cand02321,0.8877,0.7860
cand02153,0.9214,0.8842
cand01831,0.9357,0.8956
cand01838,0.9012,0.8246
cand01894,0.7276,0.4054
cand02429,0.9113,0.8342
cand02286,0.9309,0.8834
cand02269,0.9098,0.8424
cand00658,0.7864,0.5485
cand01590,0.9047,0.8268
cand01320,0.8472,0.6761
cand01739,0.8901,0.8183
cand01770,0.9081,0.8358
cand02218,0.9335,0.8875
cand01526,0.9017,0.8493
cand02070,0.8704,0.7606
cand02248,0.9309,0.8866
cand01943,0.9179,0.8681
cand02050,0.9229,0.8707
cand01469,0.8607,0.7108
