cand,bz_iptm,bz_ptm,bz_plddt,cf_ipsae,cf_ddg,cf_scdq,cf_cms
cand00073,0.9686862826347351,0.9738561511039734,0.9651497602462769,0.8031,-60.11,0.868,441.2
cand00169,0.969306468963623,0.9742148518562317,0.9668784737586975,0.8001,-57.58,0.901,421.7
cand00106,0.953662097454071,0.9662114977836609,0.9683167934417725,0.7992,-46.58,0.805,396.5
cand01347,0.9232288002967834,0.9524789452552795,0.9592531323432922,0.7955,-51.82,0.661,444.8
cand00150,0.8914581537246704,0.9355953931808472,0.9637218117713928,0.7896,-47.56,0.723,414.9
cand00224,0.951235830783844,0.9640926718711853,0.9588252902030945,0.789,-52.17,0.792,413.7
cand00725,0.9590417146682739,0.9685954451560974,0.9508415460586548,0.7745,-53.69,0.833,426.8
cand00205,0.9547654986381531,0.9684683680534363,0.9651069641113281,0.7649,-45.74,0.887,379.4
cand02300,0.932380735874176,0.9576426148414612,0.9524582028388977,0.7614,-58.93,0.943,455.1
cand01165,0.9366308450698853,0.9561880230903625,0.9619131088256836,0.7581,-45.64,0.825,374.6
cand00066,0.8214612603187561,0.9006703495979309,0.9481803178787231,0.7581,-50.08,0.799,448.0
cand02473,0.9366210699081421,0.9631515741348267,0.9435820579528809,0.7579,-48.92,0.884,432.2
cand02270,0.9666240811347961,0.9755944609642029,0.9608185887336731,0.7567,-54.62,0.919,500.0
cand02138,0.9368235468864441,0.9623842835426331,0.9458523988723755,0.7561,-58.14,0.877,547.4
cand02479,0.9184684157371521,0.954096257686615,0.9290109276771545,0.7539,-47.06,0.892,385.8
cand01918,0.9524411559104919,0.9652488827705383,0.9708632230758667,0.7531,-57.54,0.84,503.3
cand02441,0.9251737594604492,0.9512667059898376,0.9542456269264221,0.7513,-53.09,0.875,447.4
cand02170,0.8451710939407349,0.904092013835907,0.845124363899231,0.7511,-52.33,0.819,502.1
cand01514,0.9362787008285522,0.9564465284347534,0.9638069272041321,0.7501,-51.38,0.873,452.8
cand02117,0.9521112442016602,0.9681124091148376,0.9552852511405945,0.7449,-46.46,0.806,398.3
cand01522,0.9423917531967163,0.9605683088302612,0.9524827003479004,0.736,-44.38,0.906,429.3
cand01490,0.9469016194343567,0.9650117754936218,0.9559463858604431,0.7335,-56.85,0.891,487.2
cand01958,0.9136521816253662,0.947085440158844,0.9295075535774231,0.7334,-55.46,0.814,517.6
cand02115,0.9451946020126343,0.9633031487464905,0.952778697013855,0.7312,-50.06,0.824,404.6
cand01790,0.9486343264579773,0.9629581570625305,0.9383878111839294,0.7285,-48.65,0.827,419.8
cand02343,0.8626813888549805,0.9292537569999695,0.9044820070266724,0.7272,-49.81,0.912,454.9
cand02161,0.9410184621810913,0.9611706137657166,0.9666272401809692,0.7266,-63.8,0.926,521.6
cand02299,0.9406841397285461,0.9583132266998291,0.9438986778259277,0.7257,-55.79,0.693,469.2
cand02321,0.9332047700881958,0.9625815153121948,0.9455554485321045,0.7244,-46.01,0.833,383.8
cand02153,0.9430538415908813,0.9638189077377319,0.9369670152664185,0.7223,-56.97,0.669,444.4
cand01831,0.9387669563293457,0.961211621761322,0.9441367387771606,0.722,-43.83,0.834,401.9
cand01838,0.9255949258804321,0.9553060531616211,0.9556646943092346,0.7214,-47.36,0.447,391.2
cand01894,0.9071543216705322,0.9391656517982483,0.9599658250808716,0.7204,-44.4,0.317,387.1
cand02429,0.929368793964386,0.9597539901733398,0.9389267563819885,0.72,-55.97,0.773,442.9
cand02286,0.9288986325263977,0.9556759595870972,0.9371093511581421,0.7198,-49.17,0.657,446.9
cand02269,0.936142086982727,0.9620752334594727,0.9508213400840759,0.7176,-47.0,0.826,448.5
cand00658,0.8962491750717163,0.9448736906051636,0.9390785694122314,0.7169,-48.91,0.811,369.9
cand02276,0.6973457336425781,0.8641709685325623,0.9180843830108643,0.7121,-45.09,0.83,386.3
cand01590,0.9023420810699463,0.9406953454017639,0.9409220218658447,0.7112,-41.02,0.921,398.2
cand01320,0.9137274026870728,0.945191502571106,0.9519265294075012,0.7108,-50.79,0.914,434.6
cand01739,0.9050771594047546,0.9426179528236389,0.9388702511787415,0.7068,-45.69,0.866,373.3
cand01770,0.9139134287834167,0.9495514035224915,0.9445110559463501,0.7021,-54.01,0.932,494.3
cand02218,0.9302324056625366,0.9563407301902771,0.9542964696884155,0.6976,-54.56,0.654,449.0
cand01526,0.9207441806793213,0.943106472492218,0.9630531668663025,0.6972,-47.51,0.745,386.3
cand01709,0.7595786452293396,0.8889157176017761,0.9195269346237183,0.6964,-44.18,0.879,364.6
cand02070,0.9009053111076355,0.9427195191383362,0.9138555526733398,0.6951,-56.22,0.787,399.7
cand02248,0.9305835962295532,0.9515501260757446,0.9628780484199524,0.6949,-40.97,0.72,417.3
cand01943,0.9434126615524292,0.961858868598938,0.9495425224304199,0.6948,-43.52,0.847,411.1
cand02050,0.9233768582344055,0.9424639940261841,0.9635016322135925,0.6937,-42.54,0.716,391.1
cand01469,0.9291462898254395,0.9475303292274475,0.9636133909225464,0.6903,-42.51,0.861,409.2
