cand,iptm,ptm,plddt,confidence,sc_dockq
cand00073,0.962667,0.964458,0.953382,0.963025,0.92
cand00169,0.965605,0.967772,0.947723,0.966038,0.877
cand00106,0.944638,0.95498,0.946022,0.946706,0.908
cand00150,0.749791,0.869496,0.909706,0.773732,0.785
cand00224,0.953123,0.962123,0.952321,0.954923,0.91
cand02300,0.898321,0.940189,0.927496,0.906695,0.93
cand00066,0.878096,0.926347,0.930611,0.887746,0.877
cand02270,0.934088,0.95306,0.947354,0.937882,0.951
cand01347,0.916232,0.944504,0.924041,0.921886,0.754
cand00725,0.918717,0.946608,0.930712,0.924295,0.911
cand00205,0.925594,0.948267,0.936067,0.930129,0.878
cand01165,0.932593,0.950109,0.931658,0.936096,0.948
cand02473,0.922756,0.946457,0.935792,0.927496,0.927
cand02138,0.911995,0.947127,0.925366,0.919021,0.95
cand02479,0.920427,0.94601,0.926997,0.925544,0.94
cand01918,0.939499,0.955069,0.942912,0.942613,0.941
cand02441,0.714963,0.861071,0.886531,0.744185,0.705
cand02170,0.521975,0.771836,0.832713,0.571947,0.575
cand01514,0.877124,0.925249,0.918049,0.886749,0.795
cand02117,0.674861,0.844473,0.886391,0.708783,0.685
cand01522,0.904077,0.937781,0.924831,0.910818,0.731
cand01490,0.907942,0.940848,0.927842,0.914523,0.925
cand01958,0.897754,0.937897,0.91994,0.905783,0.877
cand02115,0.529341,0.788822,0.885163,0.581237,0.194
cand01790,0.895717,0.934234,0.925205,0.90342,0.87
cand02343,0.566863,0.814794,0.875026,0.616449,0.941
cand02161,0.936802,0.957983,0.94984,0.941038,0.956
cand02299,0.892224,0.933733,0.933666,0.900526,0.739
cand02321,0.095525,0.158775,0.378256,0.108175,0.032
cand02153,0.902047,0.938127,0.925468,0.909263,0.753
cand01831,0.914447,0.945696,0.934632,0.920697,0.959
cand01838,0.861304,0.922362,0.934482,0.873516,0.337
cand01894,0.553611,0.784944,0.879254,0.599878,0.88
cand02429,0.762898,0.891023,0.910358,0.788523,0.786
cand02286,0.91878,0.944952,0.938192,0.924014,0.825
cand02269,0.94443,0.961966,0.940881,0.947937,0.902
cand00658,0.619884,0.813479,0.899683,0.658603,0.245
cand01590,0.911933,0.945242,0.936405,0.918595,0.955
cand01320,0.635668,0.840481,0.872561,0.676631,0.763
cand01739,0.816179,0.89988,0.909564,0.832919,0.792
cand01770,0.894243,0.938364,0.925776,0.903067,0.945
cand02218,0.833126,0.91123,0.933384,0.848747,0.502
cand01526,0.729813,0.861847,0.920227,0.75622,0.526
cand02070,0.891287,0.937531,0.920089,0.900536,0.735
cand02248,0.098412,0.164331,0.3938,0.111596,0.031
cand01943,0.925827,0.949426,0.938544,0.930547,0.892
cand02050,0.816661,0.903916,0.914396,0.834112,0.858
cand01469,0.698943,0.856183,0.908512,0.730391,0.732
