cand,ipsae_min,sc_dockq
cand00073,0.8764,0.931
cand00169,0.8714,0.888
cand00106,0.8844,0.78
cand01347,0.7119,0.855
cand00150,0.6569,0.751
cand00224,0.9028,0.735
cand00725,0.8838,0.906
cand00205,0.8433,0.911
cand02300,0.5956,0.927
cand01165,0.7824,0.853
cand00066,0.8681,0.83
cand02473,0.7459,0.902
cand02270,0.7576,0.954
cand02138,0.6448,0.908
cand02479,0.7780,0.845
cand01918,0.8729,0.873
cand02441,0.7311,0.782
cand02170,0.8119,0.873
cand01514,0.7493,0.859
cand02117,0.5705,0.79
cand01522,0.8426,0.862
cand01490,0.8151,0.92
cand01958,0.6714,0.712
cand02115,0.5449,0.68
cand01790,0.7752,0.505
cand02343,0.0301,0.966
cand02161,0.4692,0.921
cand02299,0.7053,0.689
cand02321,0.7338,0.866
cand02153,0.7201,0.673
cand01831,0.7487,0.919
cand01838,0.8147,0.513
cand01894,0.0121,0.132
cand02429,0.8056,0.056
cand02286,0.6692,0.825
cand02269,0.6792,0.775
cand00658,0.2446,0.644
cand01590,0.7894,0.942
cand01320,0.3345,0.858
cand01739,0.8041,0.671
cand01770,0.6440,0.836
cand02218,0.7606,0.182
cand01526,0.4065,0.482
cand02070,0.7593,0.81
cand02248,0.8044,0.689
cand01943,0.8510,0.908
cand02050,0.7467,0.78
cand01469,0.2590,0.705
