rank,cand,composite,ipsae_avg,scdq_avg,bz_ipsae,ef_ipsae,bz_scdq,ef_scdq
1,cand00169,6.338,0.9076,0.9005,0.9241,0.891,0.922,0.879
2,cand00073,5.938,0.8923,0.9080,0.9228,0.8619,0.893,0.923
3,cand01918,5.465,0.8640,0.9480,0.8955,0.8326,0.956,0.94
4,cand00725,5.354,0.8674,0.9275,0.9038,0.8309,0.943,0.912
5,cand00224,4.832,0.8640,0.8875,0.8984,0.8297,0.952,0.823
6,cand01490,4.780,0.8443,0.9420,0.8847,0.8039,0.94,0.944
7,cand00106,4.219,0.8461,0.8830,0.9032,0.789,0.859,0.907
8,cand02270,4.024,0.8210,0.9400,0.9176,0.7243,0.934,0.946
9,cand01165,3.386,0.8054,0.9260,0.8594,0.7513,0.932,0.92
10,cand00205,3.171,0.8199,0.8615,0.884,0.7559,0.86,0.863
11,cand01790,3.013,0.7975,0.9140,0.8633,0.7317,0.869,0.959
12,cand01831,3.004,0.8203,0.8445,0.8607,0.7799,0.762,0.927
13,cand02479,2.728,0.7969,0.8885,0.8299,0.7639,0.893,0.884
14,cand02299,2.564,0.8595,0.6845,0.8443,0.8747,0.682,0.687
15,cand02441,2.530,0.7805,0.9190,0.815,0.746,0.91,0.928
16,cand02473,2.299,0.8102,0.8075,0.8625,0.7579,0.796,0.819
17,cand02153,2.279,0.7887,0.8705,0.8708,0.7065,0.956,0.785
18,cand01943,2.180,0.7773,0.8950,0.8776,0.6771,0.904,0.886
19,cand01514,1.884,0.7705,0.8875,0.8565,0.6844,0.898,0.877
20,cand02286,1.674,0.7759,0.8510,0.8179,0.7339,0.932,0.77
21,cand02161,1.271,0.7332,0.9410,0.8536,0.6128,0.941,0.941
22,cand02269,1.195,0.7560,0.8650,0.862,0.6501,0.838,0.892
23,cand01522,0.268,0.7414,0.8205,0.8697,0.6131,0.889,0.752
24,cand02050,0.197,0.7448,0.8035,0.7783,0.7113,0.835,0.772
25,cand02248,-0.005,0.7750,0.6935,0.8145,0.7354,0.68,0.707
26,cand02138,-0.013,0.7100,0.8880,0.8653,0.5548,0.866,0.91
27,cand01347,-0.290,0.7228,0.8230,0.8291,0.6166,0.883,0.763
28,cand02115,-0.298,0.7395,0.7720,0.8577,0.6214,0.819,0.725
29,cand02218,-0.494,0.7639,0.6800,0.8114,0.7164,0.56,0.8
30,cand02300,-0.681,0.6695,0.9460,0.8392,0.4999,0.958,0.934
31,cand01770,-0.719,0.7104,0.8195,0.8072,0.6136,0.821,0.818
32,cand01739,-1.040,0.6735,0.9000,0.7616,0.5853,0.928,0.872
33,cand00150,-1.271,0.7426,0.6700,0.6495,0.8356,0.6,0.74
34,cand01590,-1.309,0.6645,0.9010,0.7529,0.5762,0.868,0.934
35,cand02321,-1.496,0.6706,0.8650,0.8365,0.5047,0.877,0.853
36,cand01958,-1.853,0.6551,0.8775,0.7836,0.5266,0.823,0.932
37,cand02429,-2.133,0.6743,0.7930,0.8104,0.5382,0.792,0.794
38,cand01838,-2.850,0.7278,0.5635,0.8362,0.6194,0.676,0.451
39,cand01526,-3.015,0.6676,0.7290,0.7548,0.5803,0.69,0.768
40,cand02070,-3.488,0.6260,0.8090,0.7634,0.4885,0.88,0.738
41,cand01469,-6.017,0.5985,0.6500,0.7874,0.4096,0.81,0.49
42,cand01320,-6.139,0.5324,0.8370,0.7543,0.3106,0.879,0.795
43,cand02117,-6.209,0.5590,0.7505,0.8915,0.2265,0.747,0.754
44,cand00658,-11.026,0.4501,0.6180,0.7139,0.1862,0.666,0.57
45,cand01894,-11.511,0.3760,0.7945,0.7334,0.0186,0.817,0.772
46,cand02343,-12.739,0.2872,0.9445,0.5474,0.0269,0.947,0.942
