cand,ipsae_min,sc_dockq
cand00073,0.8619,0.923
cand00169,0.8910,0.879
cand00106,0.7890,0.907
cand01347,0.6166,0.763
cand00150,0.8356,0.74
cand00224,0.8297,0.823
cand00725,0.8309,0.912
cand00205,0.7559,0.863
cand02300,0.4999,0.934
cand01165,0.7513,0.92
cand00066,0.8938,0.928
cand02473,0.7579,0.819
cand02270,0.7243,0.946
cand02138,0.5548,0.91
cand02479,0.7639,0.884
cand01918,0.8326,0.94
cand02441,0.7460,0.928
cand02170,0.4714,0.024
cand01514,0.6844,0.877
cand02117,0.2265,0.754
cand01522,0.6131,0.752
cand01490,0.8039,0.944
cand01958,0.5266,0.932
cand02115,0.6214,0.725
cand01790,0.7317,0.959
cand02343,0.0269,0.942
cand02161,0.6128,0.941
cand02299,0.8747,0.687
cand02321,0.5047,0.853
cand02153,0.7065,0.785
cand01831,0.7799,0.927
cand01838,0.6194,0.451
cand01894,0.0186,0.772
cand02429,0.5382,0.794
cand02286,0.7339,0.77
cand02269,0.6501,0.892
cand00658,0.1862,0.57
cand01590,0.5762,0.934
cand01320,0.3106,0.795
cand01739,0.5853,0.872
cand01770,0.6136,0.818
cand02218,0.7164,0.8
cand01526,0.5803,0.768
cand02070,0.4885,0.738
cand02248,0.7354,0.707
cand01943,0.6771,0.886
cand02050,0.7113,0.772
cand01469,0.4096,0.49
