cand,ipsae_min
cand00534,0.7557
cand01590,0.7112
cand01184,0.0136
cand00668,0.0919
cand00518,0.0652
cand01147,0.2265
cand00427,0.0359
cand02380,0.0143
cand02037,0.0901
cand01922,0.7021
cand02128,0.1489
cand02166,0.5227
cand02100,0.7561
cand01193,0.0132
cand00437,0.7099
cand00635,0.0283
cand02443,0.0000
cand02234,0.0143
cand02161,0.7266
cand01106,0.0520
cand02122,0.6533
cand02298,0.6680
cand00401,0.7233
cand00974,0.0000
cand01463,0.0125
cand01415,0.6210
cand02182,0.0000
cand00763,0.6477
cand02232,0.0159
cand02175,0.0000
