set,label,scdq_bef,scdq_aft,bsa_bef,bsa_aft
dataset,mythos_preview_multi_target_pdl1_rank01,,,894.6,920.1
dataset,mythos_preview_multi_target_pdl1_rank02,,,907.3,939.7
dataset,mythos_preview_multi_target_pdl1_rank03,,,908.1,949.8
dataset,mythos_preview_multi_target_pdl1_rank04,,,964.4,1058.9
dataset,mythos_preview_multi_target_pdl1_rank05,,,756.3,822.5
dataset,mythos_preview_multi_target_pdl1_rank06,,,802.8,890.7
dataset,mythos_preview_multi_target_pdl1_rank07,,,792.0,818.7
dataset,mythos_preview_multi_target_pdl1_rank08,,,969.8,1140.1
dataset,mythos_preview_multi_target_pdl1_rank09,,,841.0,985.7
dataset,mythos_preview_multi_target_pdl1_rank10,,,991.3,1084.8
dataset,mythos_preview_multi_target_pdl1_rank11,,,998.9,1072.8
dataset,mythos_preview_multi_target_pdl1_rank12,,,924.9,1002.7
dataset,mythos_preview_multi_target_pdl1_rank13,,,925.9,1042.8
dataset,mythos_preview_multi_target_pdl1_rank14,,,811.7,951.0
dataset,mythos_preview_multi_target_pdl1_rank15,,,720.6,897.7
dataset,mythos_preview_multi_target_pdl1_rank16,,,749.5,863.6
dataset,mythos_preview_multi_target_pdl1_rank17,,,799.1,886.5
dataset,mythos_preview_multi_target_pdl1_rank18,,,932.7,996.1
dataset,mythos_preview_multi_target_pdl1_rank19,,,790.3,831.8
dataset,mythos_preview_multi_target_pdl1_rank20,,,819.3,817.4
ours,cand00534,0.64,0.683,934.0,1043.7
ours,cand01590,0.829,0.919,1010.5,1079.4
ours,cand01184,0.017,0.017,705.9,817.1
ours,cand00668,0.434,0.364,729.6,931.2
ours,cand00518,0.478,0.494,706.5,917.5
ours,cand01147,0.021,0.021,795.0,856.6
ours,cand00427,0.146,0.147,709.8,893.7
ours,cand02380,,,538.8,660.4
ours,cand02037,0.721,0.707,783.5,852.3
ours,cand01922,0.894,0.943,981.1,1030.4
ours,cand02128,0.31,0.316,819.9,796.5
ours,cand02166,0.674,0.683,836.3,904.8
ours,cand02100,0.908,0.864,963.4,1044.0
ours,cand01193,0.068,0.066,917.4,1095.8
ours,cand00437,0.033,0.034,883.2,947.6
ours,cand00635,0.051,0.052,811.0,812.1
ours,cand02443,0.154,0.145,524.4,644.7
ours,cand02234,,,507.4,671.8
ours,cand02161,0.906,0.937,1057.1,1123.6
ours,cand01106,0.428,0.565,709.4,794.4
ours,cand02122,0.018,0.017,455.7,588.5
ours,cand02298,0.903,0.878,954.5,1083.3
ours,cand00401,0.808,0.83,670.7,664.2
ours,cand00974,,,670.5,818.3
ours,cand01463,0.025,0.023,886.6,919.0
ours,cand01415,0.021,0.02,633.6,549.2
ours,cand02182,0.025,0.024,464.4,650.0
ours,cand00763,0.751,0.764,553.8,615.5
ours,cand02232,,,722.2,943.3
ours,cand02175,0.076,0.122,646.3,994.8
