cand,ipsae_bef,ipsae_aft,delta
cand00534,0.7557,0.7557,+0.0000
cand01590,0.7112,0.7112,+0.0000
cand01184,0.0136,0.0136,+0.0000
cand00668,0.0919,0.0919,+0.0000
cand00518,0.0652,0.0652,+0.0000
cand01147,0.2265,0.2265,+0.0000
cand00427,0.0359,0.0359,+0.0000
cand02380,0.0143,0.0143,+0.0000
cand02037,0.0901,0.0901,+0.0000
cand01922,0.7021,0.7021,+0.0000
cand02128,0.1489,0.1489,+0.0000
cand02166,0.5227,0.5227,+0.0000
cand02100,0.7561,0.7561,+0.0000
cand01193,0.0132,0.0132,+0.0000
cand00437,0.7099,0.7099,+0.0000
cand00635,0.0283,0.0283,+0.0000
cand02443,0.0000,0.0000,+0.0000
cand02234,0.0143,0.0143,+0.0000
cand02161,0.7266,0.7266,+0.0000
cand01106,0.0520,0.0520,+0.0000
cand02122,0.6533,0.6533,+0.0000
cand02298,0.6680,0.6680,+0.0000
cand00401,0.7233,0.7233,+0.0000
cand00974,0.0000,0.0000,+0.0000
cand01463,0.0125,0.0125,+0.0000
cand01415,0.6210,0.6210,+0.0000
cand02182,0.0000,0.0000,+0.0000
cand00763,0.6477,0.6477,+0.0000
cand02232,0.0159,0.0159,+0.0000
cand02175,0.0000,0.0000,+0.0000
