rank,cand,best_tmscore,nearest_anthropic
1,cand00169,0.79151,mythos_preview_single_target_pdl1_rank12
2,cand00073,0.79534,mythos_preview_single_target_pdl1_rank12
3,cand01918,0.7883,mythos_preview_single_target_pdl1_rank06
4,cand00725,0.77323,mythos_preview_multi_target_pdl1_rank28
5,cand00224,0.75156,mythos_preview_single_target_pdl1_rank06
6,cand01490,0.76806,mythos_preview_single_target_pdl1_rank06
7,cand00106,0.73867,mythos_preview_single_target_pdl1_rank06
8,cand02270,0.81355,mythos_preview_multi_target_pdl1_rank26
9,cand01165,0.81167,mythos_preview_single_target_pdl1_rank06
10,cand01831,0.79321,mythos_preview_multi_target_pdl1_rank26
11,cand00205,0.78855,mythos_preview_single_target_pdl1_rank12
12,cand02299,0.76055,mythos_preview_multi_target_pdl1_rank26
13,cand02479,0.75217,mythos_preview_single_target_pdl1_rank06
14,cand01790,0.77884,mythos_preview_multi_target_pdl1_rank26
15,cand02473,0.76573,mythos_preview_single_target_pdl1_rank06
16,cand01943,0.8001,mythos_preview_single_target_pdl1_rank06
17,cand02153,0.80326,mythos_preview_multi_target_pdl1_rank26
18,cand02441,0.75964,mythos_preview_single_target_pdl1_rank06
19,cand02286,0.80251,mythos_preview_multi_target_pdl1_rank26
20,cand01514,0.81468,mythos_preview_single_target_pdl1_rank06
21,cand02269,0.81622,mythos_preview_multi_target_pdl1_rank26
22,cand02161,0.79902,mythos_preview_multi_target_pdl1_rank26
23,cand02050,0.71393,mythos_preview_single_target_pdl1_rank06
24,cand02138,0.77759,mythos_preview_multi_target_pdl1_rank26
25,cand01522,0.79993,mythos_preview_single_target_pdl1_rank06
26,cand01770,0.75967,mythos_preview_multi_target_pdl1_rank26
27,cand01347,0.80048,mythos_preview_single_target_pdl1_rank06
28,cand00150,0.77197,mythos_preview_single_target_pdl1_rank22
29,cand02300,0.79148,mythos_preview_multi_target_pdl1_rank26
30,cand02218,0.69612,mythos_preview_single_target_pdl1_rank26
