seqid,mean_plddt,ptm,length
cand00302,98.03,0.81,76
cand02017,97.93,0.79,75
cand00331,97.92,0.81,76
cand00721,97.9,0.8,68
cand00165,97.9,0.8,76
cand00319,97.87,0.81,76
cand00232,97.85,0.81,76
cand00274,97.85,0.81,76
cand00061,97.84,0.81,76
cand01526,97.84,0.79,66
cand00117,97.83,0.8,76
cand01428,97.83,0.78,66
cand01369,97.82,0.8,76
cand01726,97.82,0.78,66
cand01985,97.81,0.8,75
cand01566,97.79,0.78,66
cand00318,97.79,0.81,76
cand00173,97.78,0.8,76
cand02325,97.77,0.8,68
cand00918,97.77,0.8,68
cand01560,97.76,0.8,75
cand02172,97.76,0.79,66
cand01979,97.75,0.78,66
cand00131,97.75,0.81,76
cand00184,97.74,0.81,76
cand01892,97.74,0.78,75
cand01893,97.73,0.78,66
cand01128,97.73,0.8,68
cand00336,97.71,0.79,68
cand01961,97.7,0.79,66
cand01769,97.7,0.79,75
cand01090,97.67,0.8,68
cand00063,97.67,0.81,76
cand01415,97.67,0.79,76
cand02115,97.65,0.79,75
cand00115,97.64,0.84,83
cand00990,97.63,0.79,68
cand02049,97.63,0.78,66
cand00284,97.63,0.8,76
cand01589,97.62,0.79,74
cand01586,97.61,0.79,74
cand01663,97.61,0.8,76
cand01913,97.61,0.78,66
cand02291,97.6,0.79,75
cand01969,97.59,0.78,75
cand01102,97.59,0.78,68
cand00722,97.56,0.79,68
cand00186,97.56,0.84,83
cand01357,97.56,0.79,74
cand01992,97.55,0.79,75
cand01812,97.54,0.78,66
cand01146,97.54,0.79,68
cand01996,97.53,0.79,75
cand01286,97.53,0.79,76
cand00045,97.53,0.84,83
cand01946,97.53,0.78,66
cand01608,97.53,0.78,66
cand00558,97.52,0.79,68
cand01407,97.52,0.79,74
cand01746,97.52,0.78,75
cand01753,97.52,0.79,75
cand02213,97.51,0.78,68
cand01001,97.51,0.79,68
cand01683,97.51,0.77,66
cand00139,97.5,0.8,76
cand01908,97.5,0.79,75
cand01382,97.49,0.79,74
cand01101,97.49,0.79,68
cand02147,97.49,0.79,85
cand02381,97.49,0.79,68
cand02230,97.48,0.8,74
cand01542,97.47,0.79,74
cand02389,97.45,0.79,75
cand00321,97.44,0.8,76
cand01659,97.44,0.78,66
cand02027,97.43,0.79,75
cand01998,97.41,0.79,75
cand00027,97.41,0.84,74
cand01408,97.41,0.79,75
cand01481,97.41,0.78,66
cand01093,97.4,0.79,68
cand01636,97.4,0.79,74
cand01800,97.39,0.78,66
cand02238,97.39,0.79,66
cand00225,97.39,0.81,76
cand02055,97.39,0.78,75
cand01332,97.39,0.78,74
cand01073,97.39,0.79,68
cand01139,97.39,0.78,68
cand00086,97.38,0.83,74
cand01033,97.38,0.8,68
cand00220,97.38,0.83,74
cand01886,97.38,0.77,66
cand01394,97.37,0.79,74
cand01935,97.37,0.79,75
cand01703,97.37,0.78,66
cand01642,97.36,0.79,76
cand00512,97.36,0.79,68
cand01138,97.36,0.79,74
cand00072,97.35,0.83,74
cand01522,97.35,0.79,76
cand01865,97.35,0.78,75
cand02114,97.35,0.78,85
cand00005,97.34,0.84,81
cand00147,97.34,0.84,83
cand02059,97.34,0.79,75
cand01630,97.34,0.66,76
cand00376,97.34,0.79,68
cand00057,97.33,0.84,83
cand02048,97.33,0.77,66
cand02029,97.32,0.78,75
cand01196,97.32,0.79,74
cand01505,97.31,0.78,72
cand01995,97.3,0.77,66
cand01991,97.3,0.77,66
cand00757,97.29,0.83,84
cand00860,97.28,0.8,74
cand00342,97.28,0.84,84
cand01170,97.28,0.78,66
cand01732,97.28,0.78,66
cand00268,97.28,0.8,76
cand00297,97.28,0.83,84
cand00013,97.27,0.84,81
cand01082,97.26,0.79,68
cand01760,97.26,0.78,75
cand02036,97.25,0.78,67
cand00222,97.25,0.83,74
cand00070,97.24,0.83,74
cand01469,97.23,0.78,72
cand02028,97.21,0.78,76
cand00956,97.21,0.79,68
cand02127,97.19,0.78,75
cand02182,97.19,0.66,70
cand01096,97.18,0.77,79
cand01774,97.17,0.77,66
cand02121,97.16,0.78,75
cand00440,97.16,0.81,73
cand01153,97.15,0.78,68
cand01395,97.14,0.79,74
cand01927,97.14,0.76,66
cand01607,97.14,0.79,81
cand00681,97.13,0.79,74
cand01556,97.12,0.78,74
cand00779,97.11,0.79,68
cand00724,97.1,0.78,68
cand01057,97.1,0.77,68
cand01070,97.1,0.77,79
cand02101,97.1,0.78,75
cand02016,97.09,0.77,66
cand01295,97.08,0.78,74
cand00107,97.08,0.83,83
cand02302,97.08,0.78,67
cand00170,97.07,0.83,74
cand01734,97.07,0.77,76
cand00182,97.05,0.79,76
cand00654,97.05,0.79,68
cand02203,97.05,0.78,74
cand01549,97.05,0.79,76
cand00003,97.04,0.84,81
cand01064,97.04,0.81,67
cand01564,97.03,0.79,74
cand00287,97.03,0.79,76
cand02190,97.03,0.78,68
cand02218,97.02,0.78,67
cand01198,97.02,0.76,79
cand02210,97.01,0.77,66
cand00052,97.01,0.84,83
cand01011,97.01,0.81,73
cand02305,97.0,0.78,74
cand00481,97.0,0.78,68
cand01758,97.0,0.78,74
cand00019,96.99,0.85,81
cand00235,96.99,0.74,74
cand01105,96.98,0.78,74
cand00134,96.97,0.79,76
cand02058,96.97,0.79,75
cand01450,96.96,0.77,66
cand02223,96.96,0.78,74
cand00124,96.96,0.79,76
cand02169,96.96,0.78,67
cand00875,96.95,0.78,68
cand00320,96.95,0.82,82
cand02368,96.95,0.79,75
cand02110,96.94,0.77,75
cand01791,96.93,0.78,75
cand01353,96.93,0.77,79
cand00386,96.93,0.8,73
cand00327,96.92,0.79,76
cand00224,96.92,0.83,83
cand01614,96.92,0.78,81
cand01248,96.92,0.82,65
cand02159,96.91,0.78,67
cand00713,96.91,0.78,76
cand00502,96.9,0.81,73
cand01693,96.9,0.78,76
cand01688,96.89,0.76,66
cand01177,96.89,0.77,79
cand00228,96.89,0.79,76
cand00882,96.89,0.8,76
cand01776,96.88,0.78,76
cand02045,96.88,0.72,72
cand02112,96.88,0.79,76
cand01440,96.87,0.78,76
cand00328,96.87,0.79,76
cand01199,96.87,0.78,68
cand00210,96.87,0.79,76
cand01616,96.87,0.79,81
cand00818,96.87,0.79,68
cand01503,96.87,0.78,85
cand00085,96.86,0.79,76
cand01965,96.85,0.78,75
cand01414,96.84,0.78,76
cand01349,96.84,0.79,81
cand01900,96.83,0.77,75
cand00887,96.83,0.79,74
cand01646,96.82,0.79,81
cand00198,96.81,0.79,76
cand00429,96.81,0.79,68
cand02113,96.81,0.79,85
cand01682,96.8,0.78,81
cand02299,96.78,0.79,80
cand01111,96.77,0.78,68
cand02057,96.77,0.7,72
cand00696,96.77,0.82,73
cand00396,96.77,0.8,73
cand00008,96.76,0.83,81
cand00074,96.76,0.83,83
cand01405,96.76,0.59,67
cand02102,96.76,0.77,72
cand02219,96.75,0.77,65
cand02387,96.75,0.78,75
cand01333,96.75,0.8,79
cand00050,96.73,0.84,83
cand00954,96.73,0.78,76
cand01689,96.73,0.78,74
cand00174,96.72,0.78,76
cand00180,96.71,0.83,83
cand00106,96.71,0.84,83
cand01418,96.7,0.78,74
cand01786,96.7,0.79,76
cand00264,96.7,0.83,74
cand00997,96.69,0.8,73
cand00162,96.68,0.82,74
cand00043,96.68,0.83,83
cand01764,96.68,0.79,75
cand01709,96.68,0.78,74
cand02097,96.68,0.77,72
cand00518,96.67,0.81,73
cand01060,96.67,0.76,68
cand02222,96.66,0.78,67
cand00083,96.66,0.82,74
cand01296,96.65,0.78,76
cand01916,96.65,0.7,72
cand02244,96.64,0.77,66
cand01729,96.63,0.79,76
cand00451,96.63,0.83,84
cand00495,96.62,0.77,68
cand01265,96.62,0.75,79
cand02408,96.61,0.77,75
cand00401,96.61,0.78,76
cand00040,96.61,0.83,74
cand01648,96.61,0.78,75
cand01680,96.61,0.81,65
cand00073,96.59,0.8,66
cand01934,96.59,0.76,75
cand00810,96.59,0.78,68
cand02197,96.59,0.78,85
cand00362,96.59,0.83,83
cand02215,96.56,0.77,74
cand00924,96.55,0.77,76
cand01005,96.55,0.81,73
cand00303,96.55,0.81,73
cand02179,96.55,0.78,67
cand01983,96.54,0.77,75
cand00020,96.54,0.84,81
cand01442,96.54,0.77,76
cand01403,96.54,0.76,72
cand02432,96.53,0.6,80
cand00908,96.53,0.77,68
cand02128,96.52,0.77,66
cand00844,96.51,0.78,68
cand00546,96.51,0.81,73
cand01962,96.5,0.78,67
cand00339,96.5,0.82,82
cand01675,96.5,0.78,76
cand00718,96.5,0.77,76
cand00090,96.49,0.78,76
cand02254,96.48,0.77,68
cand02243,96.48,0.78,67
cand01528,96.48,0.76,74
cand00496,96.47,0.81,84
cand01724,96.47,0.77,76
cand00253,96.46,0.8,73
cand00727,96.45,0.77,68
cand00144,96.45,0.79,76
cand01718,96.44,0.76,74
cand00255,96.44,0.81,73
cand00747,96.43,0.83,80
cand01637,96.43,0.78,76
cand00662,96.42,0.81,73
cand01736,96.41,0.8,65
cand01140,96.41,0.77,68
cand00395,96.41,0.82,84
cand00927,96.4,0.78,74
cand00665,96.39,0.78,68
cand01220,96.39,0.78,79
cand01206,96.39,0.78,76
cand00636,96.39,0.81,73
cand01891,96.39,0.78,76
cand00093,96.38,0.83,83
cand02310,96.38,0.76,65
cand02063,96.38,0.77,75
cand01069,96.38,0.77,81
cand00301,96.38,0.83,81
cand00852,96.37,0.78,76
cand01974,96.37,0.8,65
cand02201,96.36,0.77,67
cand02117,96.33,0.76,75
cand00590,96.32,0.81,73
cand01085,96.32,0.82,85
cand00153,96.32,0.78,76
cand01850,96.32,0.79,81
cand00701,96.32,0.79,73
cand01310,96.31,0.77,75
cand00143,96.31,0.77,76
cand00423,96.3,0.8,73
cand01605,96.3,0.76,79
cand01008,96.29,0.78,74
cand00096,96.28,0.83,83
cand00286,96.28,0.77,76
cand00345,96.27,0.8,73
cand00226,96.27,0.78,76
cand01885,96.27,0.77,76
cand01063,96.26,0.77,68
cand01606,96.25,0.77,74
cand00702,96.25,0.8,73
cand01044,96.24,0.77,74
cand01485,96.24,0.77,76
cand01287,96.23,0.78,76
cand01883,96.22,0.77,76
cand00666,96.2,0.79,73
cand02393,96.2,0.78,75
cand00637,96.2,0.77,76
cand00452,96.19,0.77,76
cand00263,96.19,0.77,76
cand00389,96.19,0.76,76
cand01345,96.18,0.74,79
cand00313,96.18,0.77,76
cand02178,96.18,0.76,67
cand01285,96.17,0.79,81
cand00102,96.15,0.82,83
cand02105,96.15,0.78,75
cand00509,96.14,0.81,82
cand02329,96.13,0.76,65
cand00103,96.13,0.77,76
cand00549,96.13,0.76,76
cand00243,96.13,0.79,73
cand02195,96.13,0.75,66
cand00081,96.12,0.73,74
cand01400,96.11,0.8,65
cand00279,96.11,0.72,74
cand00883,96.1,0.8,73
cand01978,96.09,0.78,75
cand01568,96.09,0.77,84
cand00985,96.08,0.77,76
cand01421,96.07,0.75,79
cand02122,96.06,0.76,72
cand00777,96.05,0.81,72
cand01188,96.05,0.73,79
cand00714,96.05,0.76,76
cand00873,96.04,0.75,76
cand00658,96.04,0.82,82
cand00254,96.04,0.8,74
cand01559,96.03,0.8,65
cand02091,96.03,0.76,75
cand00304,96.02,0.8,65
cand00104,96.01,0.76,76
cand02303,96.01,0.77,75
cand00851,96.0,0.79,73
cand01550,96.0,0.81,79
cand01150,96.0,0.75,68
cand02031,95.99,0.79,65
cand00850,95.99,0.76,76
cand00346,95.99,0.8,82
cand00991,95.99,0.79,73
cand00937,95.99,0.76,74
cand02333,95.98,0.75,65
cand01255,95.98,0.77,76
cand00774,95.97,0.78,84
cand01690,95.97,0.74,74
cand01176,95.97,0.77,74
cand01738,95.97,0.77,76
cand02165,95.97,0.75,74
cand00118,95.96,0.83,83
cand02196,95.96,0.76,68
cand00754,95.95,0.76,76
cand00642,95.95,0.8,73
cand01495,95.95,0.78,81
cand01492,95.95,0.8,65
cand01999,95.94,0.78,75
cand02229,95.94,0.77,68
cand01438,95.94,0.75,74
cand01122,95.94,0.76,68
cand01379,95.93,0.78,74
cand00195,95.93,0.82,74
cand02285,95.93,0.76,68
cand00763,95.93,0.76,76
cand00922,95.92,0.77,76
cand00901,95.92,0.8,72
cand01091,95.91,0.77,74
cand01490,95.91,0.76,76
cand00343,95.9,0.81,82
cand00865,95.89,0.78,76
cand01543,95.88,0.75,72
cand01755,95.88,0.77,74
cand00689,95.88,0.78,84
cand02266,95.87,0.75,65
cand00934,95.87,0.76,76
cand01739,95.87,0.77,76
cand01918,95.87,0.78,76
cand02273,95.86,0.76,68
cand00944,95.86,0.72,67
cand00492,95.86,0.79,73
cand01766,95.86,0.76,72
cand02171,95.84,0.76,74
cand02429,95.83,0.75,66
cand02257,95.83,0.75,68
cand02339,95.82,0.75,65
cand02252,95.82,0.76,66
cand01907,95.82,0.77,85
cand00894,95.82,0.76,76
cand00122,95.81,0.81,74
cand02126,95.8,0.76,85
cand00515,95.8,0.79,73
cand00059,95.79,0.77,76
cand01943,95.79,0.76,76
cand01521,95.79,0.78,81
cand01807,95.78,0.77,76
cand00838,95.77,0.79,73
cand01635,95.76,0.8,65
cand01871,95.75,0.78,72
cand00917,95.75,0.76,74
cand01276,95.75,0.76,76
cand02226,95.74,0.76,67
cand00137,95.74,0.76,76
cand00931,95.74,0.76,76
cand00231,95.74,0.82,84
cand00310,95.74,0.82,74
cand01126,95.74,0.85,85
cand00859,95.73,0.75,76
cand00782,95.73,0.75,79
cand01767,95.72,0.76,67
cand01631,95.72,0.74,79
cand00247,95.72,0.8,74
cand01190,95.71,0.76,74
cand01866,95.69,0.78,81
cand01372,95.68,0.76,74
cand00961,95.68,0.75,72
cand02357,95.67,0.76,68
cand02354,95.67,0.76,68
cand00194,95.67,0.83,83
cand00660,95.67,0.79,73
cand00066,95.67,0.8,83
cand02351,95.66,0.76,75
cand01362,95.66,0.78,81
cand00181,95.66,0.8,74
cand00764,95.66,0.76,74
cand00717,95.66,0.77,73
cand02089,95.66,0.76,75
cand00127,95.65,0.83,81
cand00929,95.65,0.78,67
cand01020,95.64,0.76,74
cand00686,95.64,0.73,76
cand00154,95.62,0.76,76
cand02383,95.62,0.77,75
cand00503,95.62,0.82,80
cand01627,95.62,0.77,81
cand00266,95.61,0.75,76
cand00312,95.61,0.76,76
cand01727,95.6,0.76,74
cand00576,95.59,0.8,73
cand00661,95.58,0.81,82
cand02083,95.57,0.76,76
cand02314,95.56,0.58,74
cand02308,95.56,0.74,65
cand00923,95.56,0.79,73
cand01611,95.56,0.74,74
cand02158,95.55,0.75,66
cand02212,95.55,0.76,68
cand00986,95.55,0.77,76
cand02290,95.55,0.76,68
cand00391,95.53,0.8,82
cand02274,95.52,0.75,66
cand00768,95.52,0.76,76
cand01022,95.52,0.75,68
cand00648,95.51,0.76,76
cand00415,95.51,0.8,74
cand02183,95.51,0.76,85
cand00465,95.5,0.79,82
cand01435,95.48,0.76,76
cand01844,95.48,0.77,85
cand02404,95.46,0.78,68
cand00042,95.46,0.79,82
cand00785,95.46,0.79,73
cand01705,95.46,0.75,72
cand01049,95.46,0.55,67
cand01416,95.45,0.77,76
cand02106,95.44,0.75,85
cand02330,95.43,0.76,68
cand02388,95.43,0.74,68
cand00667,95.41,0.8,72
cand01401,95.41,0.55,67
cand00449,95.41,0.74,76
cand01856,95.4,0.77,81
cand00881,95.4,0.78,67
cand00300,95.39,0.81,83
cand00728,95.38,0.75,84
cand01960,95.36,0.78,65
cand00060,95.35,0.82,74
cand01759,95.35,0.78,81
cand01884,95.35,0.76,76
cand02103,95.35,0.76,76
cand02056,95.34,0.75,72
cand00031,95.33,0.78,66
cand01443,95.33,0.77,75
cand02150,95.33,0.76,85
cand00941,95.31,0.78,73
cand01692,95.31,0.76,81
cand00694,95.31,0.75,76
cand02424,95.3,0.78,80
cand02235,95.29,0.74,67
cand02038,95.28,0.76,74
cand01686,95.28,0.78,81
cand01620,95.27,0.78,81
cand00004,95.26,0.82,81
cand00141,95.26,0.8,65
cand01437,95.26,0.76,74
cand02428,95.25,0.77,75
cand01964,95.24,0.77,85
cand00329,95.24,0.8,83
cand00337,95.24,0.76,84
cand02008,95.23,0.75,72
cand00014,95.23,0.78,82
cand01076,95.23,0.74,74
cand02086,95.23,0.75,72
cand02116,95.23,0.74,76
cand01921,95.22,0.75,76
cand00878,95.21,0.76,72
cand01471,95.2,0.76,81
cand00125,95.2,0.82,78
cand01575,95.2,0.72,79
cand02081,95.2,0.78,65
cand00743,95.19,0.56,84
cand01360,95.19,0.79,65
cand02287,95.19,0.75,66
cand01136,95.19,0.77,74
cand01370,95.18,0.73,79
cand00166,95.17,0.75,76
cand02283,95.17,0.77,68
cand01579,95.17,0.77,74
cand00790,95.17,0.75,72
cand00836,95.17,0.74,76
cand02151,95.16,0.75,85
cand02327,95.15,0.76,65
cand00843,95.14,0.74,76
cand01664,95.14,0.75,76
cand00002,95.13,0.82,81
cand00427,95.13,0.79,82
cand01399,95.11,0.77,76
cand00791,95.11,0.74,74
cand02166,95.11,0.75,67
cand00325,95.1,0.55,84
cand00972,95.1,0.74,76
cand01604,95.1,0.77,76
cand00033,95.09,0.81,81
cand02289,95.09,0.72,66
cand00778,95.09,0.56,84
cand02047,95.09,0.79,65
cand00246,95.09,0.8,72
cand00824,95.09,0.72,76
cand01784,95.08,0.76,81
cand02060,95.08,0.78,65
cand00995,95.07,0.74,72
cand01777,95.06,0.79,65
cand00691,95.05,0.77,73
cand00309,95.05,0.82,81
cand01662,95.04,0.73,79
