set,label,ddG,dSASA,ddG_per100,cms,nres
dataset,mythos_preview_multi_target_pdl1_rank01,-31.85,1811.6,-1.758,430.7,76
dataset,mythos_preview_multi_target_pdl1_rank02,-33.74,1816.8,-1.857,445.2,74
dataset,mythos_preview_multi_target_pdl1_rank03,-34.96,1840.8,-1.899,457.1,76
dataset,mythos_preview_multi_target_pdl1_rank04,-45.92,2005.5,-2.290,484.3,77
dataset,mythos_preview_multi_target_pdl1_rank05,6.80,1561.2,0.435,330.0,66
dataset,mythos_preview_multi_target_pdl1_rank06,-2.67,1597.2,-0.167,336.1,66
dataset,mythos_preview_multi_target_pdl1_rank07,-27.28,1679.9,-1.624,367.9,67
dataset,mythos_preview_multi_target_pdl1_rank08,-55.11,1927.9,-2.859,491.9,79
dataset,mythos_preview_multi_target_pdl1_rank09,-34.09,1728.5,-1.972,308.4,59
dataset,mythos_preview_multi_target_pdl1_rank10,-59.35,1922.2,-3.087,494.1,80
dataset,mythos_preview_multi_target_pdl1_rank11,-40.83,1927.4,-2.118,398.2,68
dataset,mythos_preview_multi_target_pdl1_rank12,-25.53,1870.8,-1.365,424.2,68
dataset,mythos_preview_multi_target_pdl1_rank13,-33.11,1787.5,-1.852,388.2,68
dataset,mythos_preview_multi_target_pdl1_rank14,-46.47,1721.3,-2.700,342.0,65
dataset,mythos_preview_multi_target_pdl1_rank15,-39.41,1634.1,-2.412,327.0,63
dataset,mythos_preview_multi_target_pdl1_rank16,-38.49,1512.3,-2.545,300.5,61
dataset,mythos_preview_multi_target_pdl1_rank17,-29.59,1707.1,-1.734,353.0,62
dataset,mythos_preview_multi_target_pdl1_rank18,-36.72,1856.3,-1.978,386.6,68
dataset,mythos_preview_multi_target_pdl1_rank19,-1.53,1658.4,-0.092,360.0,57
dataset,mythos_preview_multi_target_pdl1_rank20,21.94,1548.8,1.417,364.4,58
ours,cand00534,-17.16,1941.1,-0.884,370.0,65
ours,cand01590,-24.38,1999.7,-1.219,395.9,72
ours,cand01184,2.42,1357.2,0.178,214.5,53
ours,cand00668,106.01,1352.5,7.838,272.0,71
ours,cand00518,-12.55,1518.9,-0.826,217.1,58
ours,cand01147,183.98,1633.4,11.264,327.9,61
ours,cand00427,-9.88,1388.7,-0.712,210.7,60
ours,cand02380,399.28,1108.8,36.011,202.1,49
ours,cand02037,10.29,1559.4,0.660,263.8,66
ours,cand01922,-16.70,1927.3,-0.866,340.2,77
ours,cand02128,-6.78,1550.8,-0.437,308.2,60
ours,cand02166,-13.21,1646.8,-0.802,354.2,71
ours,cand02100,-16.02,1832.5,-0.874,421.6,81
ours,cand01193,4.65,1796.6,0.259,302.2,73
ours,cand00437,-20.62,1743.5,-1.183,370.7,68
ours,cand00635,448.52,1633.7,27.455,264.8,68
ours,cand02443,-6.79,1196.6,-0.567,198.2,47
ours,cand02234,-13.75,1118.0,-1.230,186.9,37
ours,cand02161,-30.90,2117.7,-1.459,427.5,78
ours,cand01106,840.30,1268.0,66.268,217.5,58
ours,cand02122,238.43,903.9,26.378,166.9,50
ours,cand02298,-33.43,1929.9,-1.732,417.2,78
ours,cand00401,-29.87,1226.3,-2.436,263.8,51
ours,cand00974,1397.49,1469.0,95.134,302.1,70
ours,cand01463,260.17,1714.3,15.177,329.6,65
ours,cand01415,5775.58,1272.9,453.724,239.5,64
ours,cand02182,-11.00,1016.2,-1.083,165.3,43
ours,cand00763,-27.95,1184.0,-2.361,253.9,49
ours,cand02232,-3.48,1445.7,-0.241,226.3,63
ours,cand02175,367.55,1383.8,26.562,220.8,71
